Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
16,0.2204982,0.2375022,0.0237492,0.2084484,0.2923518,0.299,0.171411,0.1711782,0.2297952,0.1665936,0.052164,0.0360672,0.1906332,0.2231004,0.0477264,0.2838762,0.2276094,0.160029,0.3032694,0.0768198,0.043095,0.1165524,0.093093819,0.131550068,0.358518,0.3724086,0.339825,0.3006906,0.483,0.03
17,0.2369454,0.2250984,0.0294546,0.173625,0.2989434,0.2934,0.1811076,0.1443822,0.2142612,0.1532166,0.0513498,0.0395208,0.2121384,0.2068548,0.0486528,0.2541726,0.2295702,0.1519944,0.2992056,0.0901488,0.0554226,0.117714,0.091769797,0.090328256,0.3504414,0.3535626,0.3276702,0.2798976,0.592,0.066
18,0.2376666,0.2226852,0.036144,0.1407864,0.2948172,0.2975,0.180651,0.1288164,0.1944,0.1482618,0.048828,0.0428814,0.2204124,0.186942,0.0493056,0.2188098,0.2327652,0.1367688,0.2932746,0.096696,0.0704982,0.1181238,0.091167834,0.055835257,0.3417696,0.3242292,0.3157734,0.2607768,0.639,0.1
19,0.2273808,0.227607,0.0461358,0.113613,0.2805006,0.3056,0.1779936,0.132972,0.1791498,0.1464408,0.0456582,0.0458574,0.2162772,0.1672674,0.048978,0.1854864,0.2407728,0.1206666,0.2815644,0.1040028,0.0927828,0.1174098,0.091038475,0.025991476,0.3306462,0.301482,0.3111588,0.2502402,0.631,0.114
20,0.2115234,0.2384556,0.0580776,0.0909732,0.2674896,0.3211,0.17925,0.1367328,0.1618278,0.1485492,0.0424968,0.0478314,0.2044656,0.1484244,0.0498864,0.1695264,0.2541372,0.1088184,0.2713824,0.105123,0.1190946,0.115836,0.09144795,0.015802042,0.3163446,0.2775192,0.3083388,0.2434044,0.606,0.093
21,0.1949652,0.246117,0.067902,0.0758916,0.2484156,0.3404,0.1817442,0.1366158,0.1462338,0.1501512,0.0399642,0.0482676,0.1899486,0.131172,0.0535116,0.1744218,0.2625126,0.1002606,0.2560728,0.0987834,0.1415964,0.1134666,0.09366429,0.016264314,0.3002856,0.2612586,0.3066618,0.2392818,0.58,0.052
22,0.1765416,0.2457054,0.0724014,0.0692256,0.2285184,0.3572,0.1821408,0.138234,0.1289736,0.1488186,0.0377016,0.0466548,0.1716192,0.1250322,0.0598626,0.1843734,0.2610204,0.0947364,0.2388498,0.086142,0.1544742,0.1101456,0.097140517,0.004601714,0.281022,0.2393418,0.3002574,0.2319834,0.583,0.019
23,0.1585164,0.2453334,0.0689202,0.0691116,0.214935,0.3743,0.1807656,0.150609,0.1158606,0.1503348,0.0388758,0.0485628,0.1543488,0.1251876,0.0636372,0.1918632,0.257868,0.0947496,0.2194152,0.0829662,0.1478796,0.1095162,0.101779964,0,0.2643366,0.218661,0.2858496,0.2124252,0.612,0.008
24,0.141768,0.240915,0.0611496,0.0701244,0.2032122,0.3894,0.1838538,0.166344,0.1043376,0.149739,0.0419568,0.0504858,0.139389,0.1212906,0.0691566,0.1940652,0.2540088,0.0992388,0.2019894,0.0897558,0.1355676,0.1091508,0.107436203,0,0.251517,0.197292,0.2635158,0.1845816,0.618,0.004
25,0.1226292,0.2307486,0.0520734,0.0660648,0.1872408,0.399,0.1884684,0.1768326,0.0974208,0.1447812,0.0451788,0.0510774,0.12267,0.120051,0.0771822,0.1932132,0.247398,0.1047114,0.1869978,0.0996846,0.1216596,0.1103154,0.113943923,0,0.236454,0.1799736,0.2369712,0.1594308,0.61,0.003
