Fuel,Year,Value,,Unit,Source,Updated at,Updated by
Power,2018,3e-05,,Fraction,needs update,needs update,needs update
Power,2025,3e-05,,Fraction,needs update,needs update,needs update
Power,2030,3e-05,,Fraction,needs update,needs update,needs update
Power,2035,3e-05,,Fraction,needs update,needs update,needs update
Power,2040,3e-05,,Fraction,needs update,needs update,needs update
Power,2045,3e-05,,Fraction,needs update,needs update,needs update
Power,2050,3e-05,,Fraction,needs update,needs update,needs update
