Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
18,0.3168888,0.2969136,0.048192,0.1877152,0.3930896,0.396666667,0.240868,0.1717552,0.2592,0.1976824,0.065104,0.0571752,0.2938832,0.249256,0.0657408,0.2917464,0.3103536,0.1823584,0.3910328,0.128928,0.0939976,0.1574984,0.121557112,0.07444701,0.4556928,0.4323056,0.4210312,0.3477024,0.121505658,0.08138
19,0.3031744,0.303476,0.0615144,0.151484,0.3740008,0.407466667,0.2373248,0.177296,0.2388664,0.1952544,0.0608776,0.0611432,0.2883696,0.2230232,0.065304,0.2473152,0.3210304,0.1608888,0.3754192,0.1386704,0.1237104,0.1565464,0.121384634,0.034655301,0.4408616,0.401976,0.4148784,0.3336536,0.099970039,0.076097
20,0.2820312,0.3179408,0.0774368,0.1212976,0.3566528,0.428133333,0.239,0.1823104,0.2157704,0.1980656,0.0566624,0.0637752,0.2726208,0.1978992,0.0665152,0.2260352,0.3388496,0.1450912,0.3618432,0.140164,0.1587928,0.154448,0.1219306,0.021069389,0.4217928,0.3700256,0.4111184,0.3245392,0.08280494,0.070828
21,0.2599536,0.328156,0.090536,0.1011888,0.3312208,0.453866667,0.2423256,0.1821544,0.1949784,0.2002016,0.0532856,0.0643568,0.2532648,0.174896,0.0713488,0.2325624,0.3500168,0.1336808,0.3414304,0.1317112,0.1887952,0.1512888,0.12488572,0.021685752,0.4003808,0.3483448,0.4088824,0.3190424,0.078624862,0.066607
22,0.2353888,0.3276072,0.0965352,0.0923008,0.3046912,0.476266667,0.2428544,0.184312,0.1719648,0.1984248,0.0502688,0.0622064,0.2288256,0.1667096,0.0798168,0.2458312,0.3480272,0.1263152,0.3184664,0.114856,0.2059656,0.1468608,0.129520689,0.006135619,0.374696,0.3191224,0.4003432,0.3093112,0.078083089,0.062836
23,0.2113552,0.3271112,0.0918936,0.0921488,0.28658,0.499066667,0.2410208,0.200812,0.1544808,0.2004464,0.0518344,0.0647504,0.2057984,0.1669168,0.0848496,0.2558176,0.343824,0.1263328,0.2925536,0.1106216,0.1971728,0.1460216,0.135706619,0,0.3524488,0.291548,0.3811328,0.2832336,0.078391995,0.064793
24,0.189024,0.32122,0.0815328,0.0934992,0.2709496,0.5192,0.2451384,0.221792,0.1391168,0.199652,0.0559424,0.0673144,0.185852,0.1617208,0.0922088,0.2587536,0.3386784,0.1323184,0.2693192,0.1196744,0.1807568,0.1455344,0.143248271,0,0.335356,0.263056,0.3513544,0.2461088,0.082554473,0.069928
25,0.1635056,0.3076648,0.0694312,0.0880864,0.2496544,0.532,0.2512912,0.2357768,0.1298944,0.1930416,0.0602384,0.0681032,0.16356,0.160068,0.1029096,0.2576176,0.329864,0.1396152,0.2493304,0.1329128,0.1622128,0.1470872,0.15192523,0,0.315272,0.2399648,0.3159616,0.2125744,0.08856028,0.075298
26,0.1406456,0.2912536,0.0578352,0.0828816,0.2299232,0.549066667,0.254972,0.2431688,0.1242808,0.1863408,0.0636744,0.0682336,0.145832,0.173352,0.112368,0.2509936,0.319276,0.1446064,0.2326136,0.146184,0.1429864,0.1473352,0.161522724,0,0.292368,0.2227616,0.2751224,0.1826248,0.09612755,0.079593
27,0.1206304,0.2691736,0.047732,0.074808,0.2131968,0.5788,0.2554352,0.2502536,0.1216064,0.1779736,0.0669928,0.0674032,0.1297528,0.2004984,0.118636,0.2381208,0.3035064,0.1496768,0.2215976,0.1613576,0.1266896,0.1465608,0.165277091,0,0.263904,0.2134456,0.2422176,0.1630048,0.078214878,0.083741
