OutputActivityRatio{r in REGION, t in TECHNOLOGY, f in FUEL, m in MODEOFOPERATION, y in YEAR}; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ratio of output to activity. Desribes, together with the InputActivityRatio, the efficiency of the technology.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Unit: Fraction; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Region;Technology;Fuel;ModeOfOperation;2018;2020;2025;2030;2035;2040;2045;2050; ; ; ; ; ; ; 
DE;A_Rooftop_Commercial;Area_Rooftop_Commercial;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;A_Rooftop_Residential;Area_Rooftop_Residential;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;D_Battery_Li-Ion;Power;2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;D_Battery_Redox;Power;2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;D_Gas_H2;H2;2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;D_Gas_Methane;Gas_Natural;2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;D_Heat_HLI;Heat_Low_Industrial;2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;D_Heat_HLR;Heat_Low_Residential;2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;D_PHS;Power;2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;D_PHS_Residual;Power;2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;D_CAES;Power;2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Rail_Conv;Mobility_Freight;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Rail_Conv;Mobility_Freight;2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Rail_Conv;Mobility_Freight;3;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Rail_Electric;Mobility_Freight;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Road_OH;Mobility_Freight;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Road_BEV;Mobility_Freight;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Road_H2;Mobility_Freight;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Road_ICE;Mobility_Freight;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Road_PHEV;Mobility_Freight;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Road_ICE;Mobility_Freight;2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Road_ICE;Mobility_Freight;3;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Road_PHEV;Mobility_Freight;2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Road_PHEV;Mobility_Freight;3;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Ship_Bio;Mobility_Freight;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Ship_Conv;Mobility_Freight;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;FRT_Ship_Conv;Mobility_Freight;2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;P_Coal_Hardcoal;Power;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;P_Coal_Lignite;Power;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;P_Gas;Power;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;P_Nuclear;Power;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;P_Oil;Power;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;P_Biomass;Power;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;PSNG_Air_Bio;Mobility_Passenger;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;PSNG_Air_Conv;Mobility_Passenger;1;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
DE;PSNG_Air_Conv;Mobility_Passenger;2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0; ; ; ; ; ; ; 
