TradeCosts{f in FUEL, r in REGION1, rr in REGION2}; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Costs for trading a fuel from one region to another.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Unit: M€/PJ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fuel;Region;FR;AT;BE;BG;CH;CZ;DE;DK;EE;ES;FI;GR;HR;HU;IE;IT;LT;LU;LV;NONEU_Balkan;NL;PL;PT;RO;SE;SI;SK;UK;TR;NO1;NO2;NO3;NO4;NO5
Biofuel;ES;2,171,576,149,810,500;4,797,121,204,938,130;4,401,859,930,270,320;0;423,473,287,098,962;0;4,778,661,944,804,410;0;0;0;0;0;4,893,506,565,931,420;0;4,601,355,168,376,900;442,272,478,245,764;0;4,377,646,253,670,180;0;0;4,643,346,954,389,410;0;2,774,493,472,204,490;0;0;4,788,130,770,808,290;0;4,687,965,678,694,680;0;0;0;0;0;0
Biofuel;FI;0;0;0;0;0;0;4,924,486,949,409,890;436,511,330,793,029;329,886,898,573,751;0;0;0;0;0;0;0;3,970,779,466,292,660;0;3,684,076,084,728,170;0;0;4,539,735,801,008,260;0;0;2,985,621,075,752,360;0;0;0;0;3,771,123,801,232,320;4,111,591,369,197,370;3,634,511,941,443,900;3,420,864,783,239,200;4,035,013,833,149,510
Biofuel;FR;0;4,580,037,025,101,860;2,418,767,559,737,420;0;2,573,805,353,568,030;4,785,017,302,291,450;297,170,597,051,317;4,968,087,584,625,560;0;3,929,433,614,066,090;0;5,400,363,789,841,680;4,722,498,565,015,130;5,022,339,805,122,120;4,346,615,222,243,250;3,929,433,614,066,090;0;4,063,866,180,163,560;0;4,989,930,577,167,660;4,348,217,259,885,270;519,645,010,724,654;311,195,106,731,335;5,450,965,929,802,310;5,796,353,175,014,210;4,592,173,904,767,720;5,066,847,749,103,050;3,198,293,050,575,110;0;4,823,431,987,630,980;4,505,295,915,210,150;5,035,100,896,816,320;587,608,042,290,247;4,740,552,712,737,180
Biofuel;GR;5,400,363,789,841,680;4,211,963,696,925,740;0;2,858,215,082,961,940;0;4,413,519,326,656,820;4,823,037,148,912,890;0;0;0;0;0;369,766,697,026,533;3,845,187,185,967,440;0;3,940,654,174,084,080;0;0;0;3,021,763,265,760,280;0;4,602,149,409,877,000;0;3,541,370,891,860,490;0;3,979,042,719,423,920;4,097,654,223,673,000;0;3,711,517,911,863,850;0;0;0;0;0
Biofuel;HR;4,722,498,565,015,130;2,520,436,154,738,400;4,045,759,366,885,820;3,505,200,798,699,720;3,329,496,205,698,930;3,039,141,726,332,140;3,608,191,324,832,620;4,359,871,253,808,670;0;4,893,506,565,931,420;0;3,697,666,970,265,330;0;2,518,054,242,939,130;0;2,791,168,903,388,140;4,316,683,062,063,650;3,829,538,952,447,570;0;2,541,315,788,389,590;4,126,941,038,884,790;3,624,128,607,039,690;0;3,357,960,721,169,550;5,168,688,255,785,900;1,932,648,769,699,370;2,899,996,113,019,480;0;0;0;0;0;0;0
Biofuel;HU;5,022,339,805,122,120;2,717,739,376,022,470;4,151,356,621,532,880;3,346,107,227,183,670;3,681,825,840,694,880;2,759,049,909,975,530;3,573,552,892,939,610;4,188,907,898,067,770;0;0;0;3,845,187,185,967,440;2,518,054,242,939,130;0;0;3,509,121,885,108,750;3,867,301,749,573,020;396,890,709,766,899;4,145,191,588,251,900;2,939,127,944,631,970;4,148,955,569,442,530;3,091,965,002,996,920;0;2,854,160,753,604,280;4,918,875,342,328,030;2,632,019,705,625,310;1,931,381,652,358,940;0;0;0;0;0;0;0
Biofuel;IE;4,346,615,222,243,250;0;3,806,451,966,232,150;0;0;0;4,348,804,766,110,550;4,248,064,093,851,930;0;4,601,355,168,376,900;0;0;0;0;0;0;0;4,018,467,785,145,190;0;0;3,819,912,004,719,830;0;0;0;0;0;0;2,614,387,223,485,720;0;4,524,633,647,403,360;4,176,000,561,579,890;4,645,598,356,506,540;5,461,079,159,234,140;4,310,267,708,025,690
Biofuel;IT;4,262,429,283,370,450;3,105,413,817,189,300;3,992,387,153,775,940;4,046,425,302,456,970;3,065,342,249,381,050;3,613,848,595,330,900;382,302,795,013,297;4,592,697,889,757,560;0;442,272,478,245,764;0;3,940,654,174,084,080;2,791,168,903,388,140;3,509,121,885,108,760;0;0;0;3,771,256,263,676,050;0;3,169,449,678,116,880;4,173,177,166,491,470;419,282,849,261,631;0;4,057,193,944,251,710;5,444,009,542,404,170;2,796,305,193,848,030;3,722,020,495,447,560;4,836,076,281,267,950;0;0;0;0;0;0
Biofuel;LT;0;4,075,576,506,801,700;0;0;0;3,681,874,087,183,380;3,953,603,527,556,620;372,014,098,657,718;2,673,106,507,402,040;0;3,970,779,466,292,660;0;4,316,683,062,063,650;3,867,301,749,573,020;0;0;0;0;1,971,389,273,416,950;0;4,298,781,161,281,460;2,884,841,011,084,530;0;4,021,725,552,228,300;380,495,018,335,048;4,239,037,285,940,420;3,586,132,388,676,500;0;0;3,871,796,500,389,400;3,998,221,203,048,920;4,130,776,345,259,910;4,675,119,722,154,540;4,132,246,652,694,830
Biofuel;LU;4,063,866,180,163,560;3,283,234,971,243,640;1,781,134,466,546,950;0;262,354,498,337,655;3,334,142,725,638,990;2,541,668,927,851,560;3,476,220,402,989,150;0;4,377,646,253,670,180;0;0;3,829,538,952,447,570;396,890,709,766,899;4,018,467,785,145,190;3,771,256,263,676,050;0;0;0;0;2,350,868,442,101,670;3,880,610,250,524,290;0;0;4,732,492,522,363,570;3,532,361,848,588,180;3,899,440,723,877,230;3,565,797,264,743,750;0;4,296,425,844,006,100;3,959,354,585,598,520;4,586,966,392,170,520;5,448,413,699,405,880;4,244,627,075,258,460
