TradeCapacity{y in YEAR, f in FUEL, r in REGION1, rr in REGION2}; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Defines the capacities for trade between two regions in a specific year and for a specific fuel. ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
"Unit: GW for Power; PJ for Gas"; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ;AT;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;NONEU_Balkan;NL;PL;PT;RO;SE;SI;SK;UK;EE;LT;LV;TR;NO1;NO2;NO3;NO4;NO5
Power;LT; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1,5; ; ; ; ; ; 
Power;LV; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,75;1,45;0; ; ; ; ; ; 
Power;TR; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; 
gas_natural;FR; ;0; ;3,715,167,880,462,790; ;0; ;2,354,081,030,247,160; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;AT; ; ; ; ; ;5,686,889,082,766,770; ; ; ; ; ; ;1,850,578,765,771,690; ;1,633,041,965,644,970; ; ; ; ; ; ; ;1,605,055,247,895,790;3,531,406,888,525,920; ; ; ; ; ; ; ; ; ; 
gas_natural;BE; ; ; ; ; ;4,466,692,127,480,920; ; ; ;1,241,242,725,039,410; ; ; ; ; ;5,421,519,948,448,000; ;5,609,846,430,867,770; ; ; ; ; ; ;1,146,223,454,363,980; ; ; ; ; ; ; ; ; 
gas_natural;BG; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ;0; ; ; ;2,051,617,285,754,790; ; ; ; ; ; ; ;0; ; ; ; ; 
gas_natural;CH; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8,882,223,268,740,330; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;CZ; ; ; ; ; ;1,575,664,917,179,250; ; ; ; ; ; ; ; ; ; ; ; ;3,994,804,172,540,630; ; ; ; ;9,941,355,526,522,550; ; ; ; ; ; ; ; ; ; 
gas_natural;DE;5,170,417,971,888,300;5,024,892,962,745,750; ;8,303,343,144,203,300;2,641,120,550,486,180; ;1,443,334,161,265,130; ; ;8,233,576,742,761,430; ; ; ; ; ;5,521,390,052,761,520; ;1,329,426,657,501,100;3,039,189,945,837,870; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;DK; ; ; ; ; ;1,298,710,836,492,960; ; ; ; ; ; ; ; ; ; ; ;5,649,794,472,593,180; ; ; ;1,255,509,882,798,480; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;EE; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;285,343,155,181,474; ; ; ; ; ; 
gas_natural;ES; ; ; ; ; ; ; ; ; ;3,210,110,495,791,580; ; ; ; ; ; ; ; ; ;2,054,470,717,306,610; ; ; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;HR; ; ; ; ; ; ; ; ; ; ; ; ;1,084,303,989,689,600; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;HU; ; ; ; ; ; ; ; ; ; ; ;1,094,291,000,120,950; ; ; ; ;2,026,863,767,042,800; ; ; ;736,185,340,368,203; ; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;IE; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1,269,777,040,557,550; ; ; ; ; ; ; ; ; 
gas_natural;IT;1,633,041,965,644,970; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4,037,605,645,817,850; ; ; ; ; ; ; ; ; ; ; 
gas_natural;LT; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9,616,064,329,615,670; ; ; ; ; ; 
gas_natural;LV; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2,610,889,869,910,480;9,273,652,543,397,900; ; ; ; ; ; ; 
gas_natural;NL; ;1,138,376,517,596,490; ; ; ;2,629,827,737,014,220; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7,047,975,932,982,400; ; ; ; ; ; ; ; ; 
gas_natural;PL; ; ; ; ; ;1,328,329,456,000,790; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;PT; ; ; ; ; ; ; ;1,141,372,620,725,890; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;RO; ; ;0; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;NONEU_Balkan; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2,025,936,401,788,460; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;SI;0; ; ; ; ; ; ; ; ; ; ;7,661,463,716,622,570; ; ;3,052,414,887,722,650; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;SK;2,196,000,922,276,620; ; ; ;7,418,922,034,718,320; ; ; ; ; ; ; ;1,811,429,684,880,790; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;TR; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;UK; ;898,973,610,399,234; ; ; ; ; ; ; ; ; ; ; ;4,879,367,953,603,200; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Power;NO1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2,145; ; ; ; ; ; ; ;0;2,2;0,5;0;0,6
Power;NO2; ; ; ; ; ;1,444;1,632; ; ; ; ; ; ; ; ; ; ;0,723; ; ; ; ; ; ;1,4; ; ; ; ;3,5;0;0;0;0,5
Power;NO3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,6; ; ; ; ; ; ; ;0,5;0;0;0,4;0,5
Power;NO4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0,7; ; ; ; ; ; ; ;0;0;1,2;0;0
Power;NO5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1,4; ; ; ; ;3,9;0,6;0,5;0;0
gas_natural;NO1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;NO2; ;616,12; ; ; ;2354,98; ; ; ;800,08; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3000; ; 
gas_natural;NO3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2576,82; ; ; ; ; ;3000; ; ; 
gas_natural;NO4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
gas_natural;NO5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
