OperationalLife{r in REGION, t in TECHNOLOGY}; ; ; ; ; 
Operational lifespan of a process in years.; ; ; ; ; 
Unit: Years; ; ; ; ; 
Region;Technology;Value; ; ; 
DE;HLI_H2_Boiler;36,0; ; ; 
DE;X_Biofuel;31,0; ; ; 
DE;X_Powerfuel;21,0; ; ; 
DE;RES_Biogas;101,0; ; ; 
DE;RES_Grass;101,0; ; ; 
DE;RES_Paper_Cardboard;101,0; ; ; 
DE;RES_Residues;101,0; ; ; 
DE;RES_Roundwood;101,0; ; ; 
DE;RES_Wood;101,0; ; ; 
DE;X_Gasifier;41,0; ; ; 
DE;X_Liquifier;41,0; ; ; 
DE;FRT_Road_LNG;21,0; ; ; 
DE;FRT_Ship_LNG;31,0; ; ; 
DE;PSNG_Road_LNG;21,0; ; ; 
DE;P_H2_OCGT;31,0; ; ; 
DE;X_DAC_LT;21,0; ; ; 
DE;X_DAC_HT;21,0; ; ; 
DE;Z_Import_H2;101,0; ; ; 
DE;Z_ETS_Buy;101,0; ; ; 
DE;Z_ETS_Sell;101,0; ; ; 
DE;P_Gas_CCGT;31,0; ; ; 
DE;P_Gas_OCGT;31,0; ; ; 
DE;P_Gas_Engines;31,0; ; ; 
DE;CHP_Biomass_Solid;31,0; ;JRC-TIMES;*+1 year
DE;CHP_Coal_Hardcoal;31,0; ;JRC-TIMES;*+1 year
DE;CHP_Coal_Lignite;31,0; ;JRC-TIMES;*+1 year
DE;CHP_Gas_CCGT_Natural;26,0; ;JRC-TIMES;*+1 year
DE;CHP_Gas_CCGT_Biogas;26,0; ;JRC-TIMES;*+1 year
DE;CHP_Gas_CCGT_SynGas;26,0; ;JRC-TIMES;*+1 year
DE;CHP_Biomass_Solid_CCS;31,0; ;JRC-TIMES;*+1 year
DE;CHP_Coal_Hardcoal_CCS;31,0; ;JRC-TIMES;*+1 year
DE;CHP_Coal_Lignite_CCS;31,0; ;JRC-TIMES;*+1 year
DE;CHP_Gas_CCGT_Natural_CCS;26,0; ;JRC-TIMES;*+1 year
DE;CHP_Gas_CCGT_Biogas_CCS;26,0; ;JRC-TIMES;*+1 year
DE;CHP_Hydrogen_FuelCell;31,0; ;old data; 
DE;HLI_Convert_DH;100,0; ; ; 
DE;HLR_Convert_DH;100,0; ; ; 
DE;CHP_Oil;31,0; ;same as other chps; 
DE;Res_PV_Utility_Tracking;25,0; ; ; 
