StorageMaxChargeRate{r in REGION, s in STORAGE}; ; ; ; ; ; ; ; 
Describes the capacity the storage can take; ; ; ; ; ; ; ; 
Unit: GW; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; 
Region;S_PHS;S_Gas_H2;S_Gas_Methane;S_Battery_Li-Ion;S_Battery_Redox;S_Heat_HLI;S_CAES;S_Heat_HLR
DE;50;1;1;3;42,7;1;100;1
