TradeCapacityGrowthCosts{f in FUEL, r in REGION1, rr in REGION2}; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Costs of expanding trade capacity.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Unit: M€/GW; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fuel;Region;AL;AT;BA;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;ME;MK;NL;PL;PT;RO;RS;SE;SI;SK;UK;EE;LT;LV;UA;RU;BY;NONEU_Balkan;TR;NO1;NO2;NO3;NO4;NO5
Power;GR;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;HR;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;HU;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;IE;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;IT;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;LU;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;ME;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;MK;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;NL;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;PL;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;PT;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;RO;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;RS;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;SE;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;SI;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;SK;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;UK;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;EE;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;LT;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;LV;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;UA;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;RU;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;BY;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;NONEU_Balkan;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;TR;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;NO1;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;NO2;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;NO3;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;NO4;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
Power;NO5;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51;5,51
