Technology,Subset,Value,,Unit,Source,Updated at,Updated by
HLR_Solar_Thermal,PhaseInSet,1,,Binary,not relevant,14.06.2024,Konstantin Löffler
HLR_Heatpump_Aerial,PhaseInSet,1,,Binary,not relevant,15.06.2024,Konstantin Löffler
HLR_Heatpump_Ground,PhaseInSet,1,,Binary,not relevant,16.06.2024,Konstantin Löffler
HLR_Geothermal,PhaseInSet,1,,Binary,not relevant,17.06.2024,Konstantin Löffler
HLI_Biomass,PhaseInSet,1,,Binary,not relevant,18.06.2024,Konstantin Löffler
HLI_Direct_Electric,PhaseInSet,1,,Binary,not relevant,19.06.2024,Konstantin Löffler
HLI_Solar_Thermal,PhaseInSet,1,,Binary,not relevant,20.06.2024,Konstantin Löffler
HLI_Fuelcell,PhaseInSet,1,,Binary,not relevant,21.06.2024,Konstantin Löffler
HLI_Geothermal,PhaseInSet,1,,Binary,not relevant,22.06.2024,Konstantin Löffler
HMI_Biomass,PhaseInSet,1,,Binary,not relevant,23.06.2024,Konstantin Löffler
HMI_Steam_Electric,PhaseInSet,1,,Binary,not relevant,24.06.2024,Konstantin Löffler
HHI_H2DRI_EAF,PhaseInSet,1,,Binary,not relevant,25.06.2024,Konstantin Löffler
HHI_Scrap_EAF,PhaseInSet,1,,Binary,not relevant,26.06.2024,Konstantin Löffler
HHI_Molten_Electrolysis,PhaseInSet,1,,Binary,not relevant,27.06.2024,Konstantin Löffler
HHI_Bio_BF_BOF,PhaseInSet,1,,Binary,not relevant,28.06.2024,Konstantin Löffler
Res_Wind_Offshore_Deep,PhaseInSet,1,,Binary,not relevant,29.06.2024,Konstantin Löffler
Res_Wind_Offshore_Shallow,PhaseInSet,1,,Binary,not relevant,30.06.2024,Konstantin Löffler
Res_Wind_Offshore_Transitional,PhaseInSet,1,,Binary,not relevant,01.07.2024,Konstantin Löffler
Res_Wind_Onshore_opt,PhaseInSet,1,,Binary,not relevant,02.07.2024,Konstantin Löffler
Res_Wind_Onshore_avg,PhaseInSet,1,,Binary,not relevant,03.07.2024,Konstantin Löffler
Res_Wind_Onshore_inf,PhaseInSet,1,,Binary,not relevant,04.07.2024,Konstantin Löffler
Res_PV_Rooftop_Residential,PhaseInSet,1,,Binary,not relevant,05.07.2024,Konstantin Löffler
Res_PV_Rooftop_commercial,PhaseInSet,1,,Binary,not relevant,06.07.2024,Konstantin Löffler
Res_PV_utility_opt,PhaseInSet,1,,Binary,not relevant,07.07.2024,Konstantin Löffler
Res_PV_utility_avg,PhaseInSet,1,,Binary,not relevant,08.07.2024,Konstantin Löffler
Res_PV_utility_inf,PhaseInSet,1,,Binary,not relevant,09.07.2024,Konstantin Löffler
RES_PV_Utility_Tracking,PhaseInSet,1,,Binary,not relevant,10.07.2024,Konstantin Löffler
Res_CSP,PhaseInSet,1,,Binary,not relevant,11.07.2024,Konstantin Löffler
Res_Geothermal,PhaseInSet,1,,Binary,not relevant,12.07.2024,Konstantin Löffler
Res_Hydro_Small,PhaseInSet,1,,Binary,not relevant,13.07.2024,Konstantin Löffler
Res_Hydro_Large,PhaseInSet,1,,Binary,not relevant,14.07.2024,Konstantin Löffler
Res_Ocean,PhaseInSet,1,,Binary,not relevant,15.07.2024,Konstantin Löffler
P_Biomass,PhaseInSet,1,,Binary,not relevant,16.07.2024,Konstantin Löffler
P_Biomass_CCS,PhaseInSet,1,,Binary,not relevant,17.07.2024,Konstantin Löffler
X_SMR_CCS,PhaseInSet,1,,Binary,not relevant,18.07.2024,Konstantin Löffler
X_DAC_LT,PhaseInSet,1,,Binary,not relevant,19.07.2024,Konstantin Löffler
X_DAC_HT,PhaseInSet,1,,Binary,not relevant,20.07.2024,Konstantin Löffler
HLR_H2_Boiler,PhaseInSet,1,,Binary,not relevant,21.07.2024,Konstantin Löffler
HLI_H2_Boiler,PhaseInSet,1,,Binary,not relevant,22.07.2024,Konstantin Löffler
FRT_Road_BEV,PhaseInSet,1,,Binary,not relevant,23.07.2024,Konstantin Löffler
FRT_Road_H2,PhaseInSet,1,,Binary,not relevant,24.07.2024,Konstantin Löffler
FRT_Road_PHEV,PhaseInSet,1,,Binary,not relevant,25.07.2024,Konstantin Löffler
FRT_Road_OH,PhaseInSet,1,,Binary,not relevant,26.07.2024,Konstantin Löffler
FRT_Ship_Bio,PhaseInSet,1,,Binary,not relevant,27.07.2024,Konstantin Löffler
PSNG_Air_Bio,PhaseInSet,1,,Binary,not relevant,28.07.2024,Konstantin Löffler
PSNG_Air_H2,PhaseInSet,1,,Binary,not relevant,29.07.2024,Konstantin Löffler
PSNG_Road_BEV,PhaseInSet,1,,Binary,not relevant,30.07.2024,Konstantin Löffler
PSNG_Road_H2,PhaseInSet,1,,Binary,not relevant,31.07.2024,Konstantin Löffler
PSNG_Road_PHEV,PhaseInSet,1,,Binary,not relevant,01.08.2024,Konstantin Löffler
P_H2_OCGT,PhaseInSet,1,,Binary,not relevant,02.08.2024,Konstantin Löffler
CHP_Biomass_Solid,PhaseInSet,1,,Binary,not relevant,03.08.2024,Konstantin Löffler
CHP_Gas_CCGT_Biogas,PhaseInSet,1,,Binary,not relevant,04.08.2024,Konstantin Löffler
CHP_Gas_CCGT_SynGas,PhaseInSet,1,,Binary,not relevant,05.08.2024,Konstantin Löffler
CHP_Biomass_Solid_CCS,PhaseInSet,1,,Binary,not relevant,06.08.2024,Konstantin Löffler
CHP_Coal_Hardcoal_CCS,PhaseInSet,1,,Binary,not relevant,07.08.2024,Konstantin Löffler
CHP_Coal_Lignite_CCS,PhaseInSet,1,,Binary,not relevant,08.08.2024,Konstantin Löffler
CHP_Gas_CCGT_Natural_CCS,PhaseInSet,1,,Binary,not relevant,09.08.2024,Konstantin Löffler
CHP_Gas_CCGT_Biogas_CCS,PhaseInSet,1,,Binary,not relevant,10.08.2024,Konstantin Löffler
CHP_Hydrogen_FuelCell,PhaseInSet,1,,Binary,not relevant,11.08.2024,Konstantin Löffler
P_Biomass_CCS           ,PhaseInSet,1,,Binary,not relevant,12.08.2024,Konstantin Löffler
HHI_BF_BOF_CCS          ,PhaseInSet,1,,Binary,not relevant,13.08.2024,Konstantin Löffler
HHI_DRI_EAF_CCS         ,PhaseInSet,1,,Binary,not relevant,14.08.2024,Konstantin Löffler
HMI_Gas_CCS             ,PhaseInSet,1,,Binary,not relevant,15.08.2024,Konstantin Löffler
HMI_HardCoal_CCS        ,PhaseInSet,1,,Binary,not relevant,16.08.2024,Konstantin Löffler
P_Coal_Hardcoal_CCS     ,PhaseInSet,1,,Binary,not relevant,17.08.2024,Konstantin Löffler
P_Coal_Lignite_CCS      ,PhaseInSet,1,,Binary,not relevant,18.08.2024,Konstantin Löffler
P_Gas_CCS               ,PhaseInSet,1,,Binary,not relevant,19.08.2024,Konstantin Löffler
X_SMR_CCS               ,PhaseInSet,1,,Binary,not relevant,20.08.2024,Konstantin Löffler
X_DAC_HT                ,PhaseInSet,1,,Binary,not relevant,21.08.2024,Konstantin Löffler
X_DAC_LT                ,PhaseInSet,1,,Binary,not relevant,22.08.2024,Konstantin Löffler
CHP_Biomass_Solid_CCS   ,PhaseInSet,1,,Binary,not relevant,23.08.2024,Konstantin Löffler
CHP_Coal_Hardcoal_CCS   ,PhaseInSet,1,,Binary,not relevant,24.08.2024,Konstantin Löffler
CHP_Coal_Lignite_CCS    ,PhaseInSet,1,,Binary,not relevant,25.08.2024,Konstantin Löffler
CHP_Gas_CCGT_Natural_CCS,PhaseInSet,1,,Binary,not relevant,26.08.2024,Konstantin Löffler
CHP_Gas_CCGT_Biogas_CCS ,PhaseInSet,1,,Binary,not relevant,27.08.2024,Konstantin Löffler
P_Coal_Hardcoal,PhaseOutSet,1,,Binary,not relevant,28.08.2024,Konstantin Löffler
P_Coal_Lignite,PhaseOutSet,1,,Binary,not relevant,29.08.2024,Konstantin Löffler
P_Oil,PhaseOutSet,1,,Binary,not relevant,30.08.2024,Konstantin Löffler
HLR_Gas_Boiler,PhaseOutSet,1,,Binary,not relevant,31.08.2024,Konstantin Löffler
HLR_Hardcoal,PhaseOutSet,1,,Binary,not relevant,01.09.2024,Konstantin Löffler
HLR_Lignite,PhaseOutSet,1,,Binary,not relevant,02.09.2024,Konstantin Löffler
HLR_Oil_Boiler,PhaseOutSet,1,,Binary,not relevant,03.09.2024,Konstantin Löffler
HLI_Gas_Boiler,PhaseOutSet,1,,Binary,not relevant,04.09.2024,Konstantin Löffler
HLI_Hardcoal,PhaseOutSet,1,,Binary,not relevant,05.09.2024,Konstantin Löffler
HLI_Lignite,PhaseOutSet,1,,Binary,not relevant,06.09.2024,Konstantin Löffler
HLI_Oil_Boiler,PhaseOutSet,1,,Binary,not relevant,07.09.2024,Konstantin Löffler
HMI_Gas,PhaseOutSet,1,,Binary,not relevant,08.09.2024,Konstantin Löffler
HMI_HardCoal,PhaseOutSet,1,,Binary,not relevant,09.09.2024,Konstantin Löffler
HMI_Oil,PhaseOutSet,1,,Binary,not relevant,10.09.2024,Konstantin Löffler
HHI_BF_BOF,PhaseOutSet,1,,Binary,not relevant,11.09.2024,Konstantin Löffler
CHP_Coal_Hardcoal,PhaseOutSet,1,,Binary,not relevant,12.09.2024,Konstantin Löffler
CHP_Coal_Lignite,PhaseOutSet,1,,Binary,not relevant,13.09.2024,Konstantin Löffler
CHP_Oil,PhaseOutSet,1,,Binary,not relevant,14.09.2024,Konstantin Löffler
