Technology,Subset,Value,,Unit,Source,Updated at,Updated by
P_Gas_CCS               ,CCS,1,,Binary,not relevant,29.10.2023,Konstantin Löffler
X_SMR_CCS               ,CCS,1,,Binary,not relevant,30.10.2023,Konstantin Löffler
X_DAC_HT                ,CCS,1,,Binary,not relevant,31.10.2023,Konstantin Löffler
X_DAC_LT                ,CCS,1,,Binary,not relevant,01.11.2023,Konstantin Löffler
CHP_Biomass_Solid_CCS   ,CCS,1,,Binary,not relevant,02.11.2023,Konstantin Löffler
CHP_Coal_Hardcoal_CCS   ,CCS,1,,Binary,not relevant,03.11.2023,Konstantin Löffler
CHP_Coal_Lignite_CCS    ,CCS,1,,Binary,not relevant,04.11.2023,Konstantin Löffler
CHP_Gas_CCGT_Natural_CCS,CCS,1,,Binary,not relevant,05.11.2023,Konstantin Löffler
CHP_Gas_CCGT_Biogas_CCS ,CCS,1,,Binary,not relevant,06.11.2023,Konstantin Löffler
X_FUEL_CELL,Transformation,1,,Binary,not relevant,07.11.2023,Konstantin Löffler
X_Electrolysis,Transformation,1,,Binary,not relevant,08.11.2023,Konstantin Löffler
X_Methanation,Transformation,1,,Binary,not relevant,09.11.2023,Konstantin Löffler
X_Biofuel,Transformation,1,,Binary,not relevant,10.11.2023,Konstantin Löffler
X_Powerfuel,Transformation,1,,Binary,not relevant,11.11.2023,Konstantin Löffler
D_Battery_Li-Ion,Transformation,1,,Binary,not relevant,12.11.2023,Konstantin Löffler
D_Battery_Redox,Transformation,1,,Binary,not relevant,13.11.2023,Konstantin Löffler
D_Gas_Methane,Transformation,1,,Binary,not relevant,14.11.2023,Konstantin Löffler
D_Gas_H2,Transformation,1,,Binary,not relevant,15.11.2023,Konstantin Löffler
D_CAES,Transformation,1,,Binary,not relevant,16.11.2023,Konstantin Löffler
D_Heat_HLI,Transformation,1,,Binary,not relevant,17.11.2023,Konstantin Löffler
D_Heat_HLR,Transformation,1,,Binary,not relevant,18.11.2023,Konstantin Löffler
D_PHS,Transformation,1,,Binary,not relevant,19.11.2023,Konstantin Löffler
HLR_Gas_Boiler,Transformation,1,,Binary,not relevant,20.11.2023,Konstantin Löffler
HLR_Biomass,Transformation,1,,Binary,not relevant,21.11.2023,Konstantin Löffler
HLR_Hardcoal,Transformation,1,,Binary,not relevant,22.11.2023,Konstantin Löffler
HLR_Lignite,Transformation,1,,Binary,not relevant,23.11.2023,Konstantin Löffler
HLR_Direct_Electric,Transformation,1,,Binary,not relevant,24.11.2023,Konstantin Löffler
HLR_Solar_Thermal,Transformation,1,,Binary,not relevant,25.11.2023,Konstantin Löffler
HLR_Heatpump_Aerial,Transformation,1,,Binary,not relevant,26.11.2023,Konstantin Löffler
HLR_Heatpump_Ground,Transformation,1,,Binary,not relevant,27.11.2023,Konstantin Löffler
HLR_Geothermal,Transformation,1,,Binary,not relevant,28.11.2023,Konstantin Löffler
HLR_Oil_Boiler,Transformation,1,,Binary,not relevant,29.11.2023,Konstantin Löffler
HLR_H2_Boiler,Transformation,1,,Binary,not relevant,30.11.2023,Konstantin Löffler
HLI_Gas_Boiler,Transformation,1,,Binary,not relevant,01.12.2023,Konstantin Löffler
HLI_Biomass,Transformation,1,,Binary,not relevant,02.12.2023,Konstantin Löffler
HLI_Hardcoal,Transformation,1,,Binary,not relevant,03.12.2023,Konstantin Löffler
HLI_Lignite,Transformation,1,,Binary,not relevant,04.12.2023,Konstantin Löffler
HLI_Direct_Electric,Transformation,1,,Binary,not relevant,05.12.2023,Konstantin Löffler
HLI_Solar_Thermal,Transformation,1,,Binary,not relevant,06.12.2023,Konstantin Löffler
HLI_Fuelcell,Transformation,1,,Binary,not relevant,07.12.2023,Konstantin Löffler
HLI_Geothermal,Transformation,1,,Binary,not relevant,08.12.2023,Konstantin Löffler
HLI_Oil_Boiler,Transformation,1,,Binary,not relevant,09.12.2023,Konstantin Löffler
HLI_H2_Boiler,Transformation,1,,Binary,not relevant,10.12.2023,Konstantin Löffler
HMI_Gas,Transformation,1,,Binary,not relevant,11.12.2023,Konstantin Löffler
HMI_Biomass,Transformation,1,,Binary,not relevant,12.12.2023,Konstantin Löffler
HMI_HardCoal,Transformation,1,,Binary,not relevant,13.12.2023,Konstantin Löffler
HMI_Steam_Electric,Transformation,1,,Binary,not relevant,14.12.2023,Konstantin Löffler
HMI_Oil,Transformation,1,,Binary,not relevant,15.12.2023,Konstantin Löffler
HHI_BF_BOF,Transformation,1,,Binary,not relevant,16.12.2023,Konstantin Löffler
HHI_DRI_EAF,Transformation,1,,Binary,not relevant,17.12.2023,Konstantin Löffler
HHI_Scrap_EAF,Transformation,1,,Binary,not relevant,18.12.2023,Konstantin Löffler
HHI_H2DRI_EAF,Transformation,1,,Binary,not relevant,19.12.2023,Konstantin Löffler
HHI_Molten_Electrolysis,Transformation,1,,Binary,not relevant,20.12.2023,Konstantin Löffler
HHI_Bio_BF_BOF,Transformation,1,,Binary,not relevant,21.12.2023,Konstantin Löffler
HHI_BF_BOF_CCS,Transformation,1,,Binary,not relevant,22.12.2023,Konstantin Löffler
HHI_DRI_EAF_CCS,Transformation,1,,Binary,not relevant,23.12.2023,Konstantin Löffler
HMI_Gas_CCS,Transformation,1,,Binary,not relevant,24.12.2023,Konstantin Löffler
HMI_HardCoal_CCS,Transformation,1,,Binary,not relevant,25.12.2023,Konstantin Löffler
HLR_H2_Boiler,Transformation,1,,Binary,not relevant,26.12.2023,Konstantin Löffler
HLI_H2_Boiler,Transformation,1,,Binary,not relevant,27.12.2023,Konstantin Löffler
X_SMR,Transformation,1,,Binary,not relevant,28.12.2023,Konstantin Löffler
X_SMR_CCS,Transformation,1,,Binary,not relevant,29.12.2023,Konstantin Löffler
P_H2_OCGT,Transformation,1,,Binary,not relevant,30.12.2023,Konstantin Löffler
CHP_Biomass_Solid,Transformation,1,,Binary,not relevant,31.12.2023,Konstantin Löffler
CHP_Coal_Hardcoal,Transformation,1,,Binary,not relevant,01.01.2024,Konstantin Löffler
CHP_Coal_Lignite,Transformation,1,,Binary,not relevant,02.01.2024,Konstantin Löffler
CHP_Gas_CCGT_Natural,Transformation,1,,Binary,not relevant,03.01.2024,Konstantin Löffler
CHP_Gas_CCGT_Biogas,Transformation,1,,Binary,not relevant,04.01.2024,Konstantin Löffler
CHP_Gas_CCGT_SynGas,Transformation,1,,Binary,not relevant,05.01.2024,Konstantin Löffler
CHP_Biomass_Solid_CCS,Transformation,1,,Binary,not relevant,06.01.2024,Konstantin Löffler
CHP_Coal_Hardcoal_CCS,Transformation,1,,Binary,not relevant,07.01.2024,Konstantin Löffler
CHP_Coal_Lignite_CCS,Transformation,1,,Binary,not relevant,08.01.2024,Konstantin Löffler
CHP_Gas_CCGT_Natural_CCS,Transformation,1,,Binary,not relevant,09.01.2024,Konstantin Löffler
CHP_Gas_CCGT_Biogas_CCS,Transformation,1,,Binary,not relevant,10.01.2024,Konstantin Löffler
CHP_Hydrogen_FuelCell,Transformation,1,,Binary,not relevant,11.01.2024,Konstantin Löffler
CHP_Oil,Transformation,1,,Binary,not relevant,12.01.2024,Konstantin Löffler
R_Coal_Hardcoal,FossilFuelGeneration,1,,Binary,not relevant,13.01.2024,Konstantin Löffler
R_Coal_Lignite,FossilFuelGeneration,1,,Binary,not relevant,14.01.2024,Konstantin Löffler
R_Oil,FossilFuelGeneration,1,,Binary,not relevant,15.01.2024,Konstantin Löffler
R_Nuclear,FossilFuelGeneration,1,,Binary,not relevant,16.01.2024,Konstantin Löffler
