Fuel,Sector,Value
Power,Power,1
Mobility_Freight,Transport,1
Mobility_Passenger,Transport,1
Heat_Low_Residential,Buildings,1
Heat_Low_Industrial,Industry,1
Heat_Medium_Industrial,Industry,1
Heat_High_Industrial,Industry,1
