Region,Technology,Year,Value
World,D_Battery_Li-Ion,2018,1
World,D_Battery_Redox,2018,1
World,D_PHS,2018,1
World,D_CAES,2018,1
World,P_Gas,2018,1
World,P_Oil,2018,1
World,X_Fuel_Cell,2018,1
World,P_Gas_CCS,2018,1
DE,D_Battery_Li-Ion,2018,1
DE,D_Battery_Redox,2018,1
DE,D_PHS,2018,1
DE,D_CAES,2018,1
DE,P_Oil,2018,1
DE,X_Fuel_Cell,2018,1
DE,P_Gas_CCS,2018,1
DE,RES_Hydro_Large,2018,1
DE,P_H2_OCGT,2018,1
DE,P_Gas_CCGT,2018,1
DE,P_Gas_Engines,2018,1
DE,P_Gas_OCGT,2018,1
DE,CHP_Gas_CCGT_Biogas,2018,1
DE,CHP_Gas_CCGT_Biogas_CCS,2018,1
DE,CHP_Gas_CCGT_Natural,2018,1
DE,CHP_Gas_CCGT_Natural_CCS,2018,1
DE,CHP_Gas_CCGT_SynGas,2018,1
DE,CHP_Hydrogen_FuelCell,2018,1
DE,CHP_Oil,2018,1
World,D_Battery_Li-Ion,2020,1
World,D_Battery_Redox,2020,1
World,D_PHS,2020,1
World,D_CAES,2020,1
World,P_Gas,2020,1
World,P_Oil,2020,1
World,X_Fuel_Cell,2020,1
World,P_Gas_CCS,2020,1
DE,D_Battery_Li-Ion,2020,1
DE,D_Battery_Redox,2020,1
DE,D_PHS,2020,1
DE,D_CAES,2020,1
DE,P_Oil,2020,1
DE,X_Fuel_Cell,2020,1
DE,P_Gas_CCS,2020,1
DE,RES_Hydro_Large,2020,1
DE,P_H2_OCGT,2020,1
DE,P_Gas_CCGT,2020,1
DE,P_Gas_Engines,2020,1
DE,P_Gas_OCGT,2020,1
DE,CHP_Gas_CCGT_Biogas,2020,1
DE,CHP_Gas_CCGT_Biogas_CCS,2020,1
DE,CHP_Gas_CCGT_Natural,2020,1
DE,CHP_Gas_CCGT_Natural_CCS,2020,1
DE,CHP_Gas_CCGT_SynGas,2020,1
DE,CHP_Hydrogen_FuelCell,2020,1
DE,CHP_Oil,2020,1
World,D_Battery_Li-Ion,2025,1
World,D_Battery_Redox,2025,1
World,D_PHS,2025,1
World,D_CAES,2025,1
World,P_Gas,2025,1
World,P_Oil,2025,1
World,X_Fuel_Cell,2025,1
World,P_Gas_CCS,2025,1
DE,D_Battery_Li-Ion,2025,1
DE,D_Battery_Redox,2025,1
DE,D_PHS,2025,1
DE,D_CAES,2025,1
DE,P_Oil,2025,1
DE,X_Fuel_Cell,2025,1
DE,P_Gas_CCS,2025,1
DE,RES_Hydro_Large,2025,1
DE,P_H2_OCGT,2025,1
DE,P_Gas_CCGT,2025,1
DE,P_Gas_Engines,2025,1
DE,P_Gas_OCGT,2025,1
DE,CHP_Gas_CCGT_Biogas,2025,1
DE,CHP_Gas_CCGT_Biogas_CCS,2025,1
DE,CHP_Gas_CCGT_Natural,2025,1
DE,CHP_Gas_CCGT_Natural_CCS,2025,1
DE,CHP_Gas_CCGT_SynGas,2025,1
DE,CHP_Hydrogen_FuelCell,2025,1
DE,CHP_Oil,2025,1
World,D_Battery_Li-Ion,2030,1
World,D_Battery_Redox,2030,1
World,D_PHS,2030,1
World,D_CAES,2030,1
World,P_Gas,2030,1
World,P_Oil,2030,1
World,X_Fuel_Cell,2030,1
World,P_Gas_CCS,2030,1
DE,D_Battery_Li-Ion,2030,1
DE,D_Battery_Redox,2030,1
DE,D_PHS,2030,1
DE,D_CAES,2030,1
DE,P_Oil,2030,1
DE,X_Fuel_Cell,2030,1
DE,P_Gas_CCS,2030,1
DE,RES_Hydro_Large,2030,1
DE,P_H2_OCGT,2030,1
DE,P_Gas_CCGT,2030,1
DE,P_Gas_Engines,2030,1
DE,P_Gas_OCGT,2030,1
DE,CHP_Gas_CCGT_Biogas,2030,1
DE,CHP_Gas_CCGT_Biogas_CCS,2030,1
DE,CHP_Gas_CCGT_Natural,2030,1
DE,CHP_Gas_CCGT_Natural_CCS,2030,1
DE,CHP_Gas_CCGT_SynGas,2030,1
DE,CHP_Hydrogen_FuelCell,2030,1
DE,CHP_Oil,2030,1
World,D_Battery_Li-Ion,2035,1
World,D_Battery_Redox,2035,1
World,D_PHS,2035,1
World,D_CAES,2035,1
World,P_Gas,2035,1
World,P_Oil,2035,1
World,X_Fuel_Cell,2035,1
World,P_Gas_CCS,2035,1
DE,D_Battery_Li-Ion,2035,1
DE,D_Battery_Redox,2035,1
DE,D_PHS,2035,1
DE,D_CAES,2035,1
DE,P_Oil,2035,1
DE,X_Fuel_Cell,2035,1
DE,P_Gas_CCS,2035,1
DE,RES_Hydro_Large,2035,1
DE,P_H2_OCGT,2035,1
DE,P_Gas_CCGT,2035,1
DE,P_Gas_Engines,2035,1
DE,P_Gas_OCGT,2035,1
DE,CHP_Gas_CCGT_Biogas,2035,1
DE,CHP_Gas_CCGT_Biogas_CCS,2035,1
DE,CHP_Gas_CCGT_Natural,2035,1
DE,CHP_Gas_CCGT_Natural_CCS,2035,1
DE,CHP_Gas_CCGT_SynGas,2035,1
DE,CHP_Hydrogen_FuelCell,2035,1
DE,CHP_Oil,2035,1
World,D_Battery_Li-Ion,2040,1
World,D_Battery_Redox,2040,1
World,D_PHS,2040,1
World,D_CAES,2040,1
World,P_Gas,2040,1
World,P_Oil,2040,1
World,X_Fuel_Cell,2040,1
World,P_Gas_CCS,2040,1
DE,D_Battery_Li-Ion,2040,1
DE,D_Battery_Redox,2040,1
DE,D_PHS,2040,1
DE,D_CAES,2040,1
DE,P_Oil,2040,1
DE,X_Fuel_Cell,2040,1
DE,P_Gas_CCS,2040,1
DE,RES_Hydro_Large,2040,1
DE,P_H2_OCGT,2040,1
DE,P_Gas_CCGT,2040,1
DE,P_Gas_Engines,2040,1
DE,P_Gas_OCGT,2040,1
DE,CHP_Gas_CCGT_Biogas,2040,1
DE,CHP_Gas_CCGT_Biogas_CCS,2040,1
DE,CHP_Gas_CCGT_Natural,2040,1
DE,CHP_Gas_CCGT_Natural_CCS,2040,1
DE,CHP_Gas_CCGT_SynGas,2040,1
