Region,Technology,Year,Value
DE,CHP_Hydrogen_FuelCell,2040,1
DE,CHP_Oil,2040,1
World,D_Battery_Li-Ion,2045,1
World,D_Battery_Redox,2045,1
World,D_PHS,2045,1
World,D_CAES,2045,1
World,P_Gas,2045,1
World,P_Oil,2045,1
World,X_Fuel_Cell,2045,1
World,P_Gas_CCS,2045,1
DE,D_Battery_Li-Ion,2045,1
DE,D_Battery_Redox,2045,1
DE,D_PHS,2045,1
DE,D_CAES,2045,1
DE,P_Oil,2045,1
DE,X_Fuel_Cell,2045,1
DE,P_Gas_CCS,2045,1
DE,RES_Hydro_Large,2045,1
DE,P_H2_OCGT,2045,1
DE,P_Gas_CCGT,2045,1
DE,P_Gas_Engines,2045,1
DE,P_Gas_OCGT,2045,1
DE,CHP_Gas_CCGT_Biogas,2045,1
DE,CHP_Gas_CCGT_Biogas_CCS,2045,1
DE,CHP_Gas_CCGT_Natural,2045,1
DE,CHP_Gas_CCGT_Natural_CCS,2045,1
DE,CHP_Gas_CCGT_SynGas,2045,1
DE,CHP_Hydrogen_FuelCell,2045,1
DE,CHP_Oil,2045,1
World,D_Battery_Li-Ion,2050,1
World,D_Battery_Redox,2050,1
World,D_PHS,2050,1
World,D_CAES,2050,1
World,P_Gas,2050,1
World,P_Oil,2050,1
World,X_Fuel_Cell,2050,1
World,P_Gas_CCS,2050,1
DE,D_Battery_Li-Ion,2050,1
DE,D_Battery_Redox,2050,1
DE,D_PHS,2050,1
DE,D_CAES,2050,1
DE,P_Oil,2050,1
DE,X_Fuel_Cell,2050,1
DE,P_Gas_CCS,2050,1
DE,RES_Hydro_Large,2050,1
DE,P_H2_OCGT,2050,1
DE,P_Gas_CCGT,2050,1
DE,P_Gas_Engines,2050,1
DE,P_Gas_OCGT,2050,1
DE,CHP_Gas_CCGT_Biogas,2050,1
DE,CHP_Gas_CCGT_Biogas_CCS,2050,1
DE,CHP_Gas_CCGT_Natural,2050,1
DE,CHP_Gas_CCGT_Natural_CCS,2050,1
DE,CHP_Gas_CCGT_SynGas,2050,1
DE,CHP_Hydrogen_FuelCell,2050,1
DE,CHP_Oil,2050,1
