Region,Fuel,Year,Value
World,Power,2018,1
DE,Power,2018,1
World,Power,2020,1
DE,Power,2020,1
World,Power,2025,1
DE,Power,2025,1
World,Power,2030,1
DE,Power,2030,1
World,Power,2035,1
DE,Power,2035,1
World,Power,2040,1
DE,Power,2040,1
World,Power,2045,1
DE,Power,2045,1
World,Power,2050,1
DE,Power,2050,1
