"BaseYearProduction{t in TECHNOLOGY, f in FUEL}", , 
Describes how much of a fuel has to be produced by specific technologies in the base year across all regions., , 
Unit: PJ, , 
 , , 
Technology,Fuel,Value
P_oil,Power,"102,8344969987995"
