"RegionalBaseYearProduction{r in REGION, t in TECHNOLOGY, f in FUEL}", , , 
Describes how much of a fuel has to be produced by specific technologies in the base year per region., , , 
Unit: PJ, , , 
 , , , 
Region,Technology,Fuel,2018
BG,HLR_Heatpump_Ground,Heat_Low_Residential,"0,251"
BG,HLR_Direct_Electric,Heat_Low_Residential,"9,939"
BG,CHP_Coal_Hardcoal,Power,"3,655"
BG,CHP_Oil,Power,"0,138"
BG,CHP_Gas_CCGT_Natural,Power,"5,044"
BG,CHP_Biomass_Solid,Power,"2,437"
BG,CHP_Coal_Hardcoal,Heat_District,"11,187"
BG,CHP_Oil,Heat_District,"0,424"
BG,CHP_Gas_CCGT_Natural,Heat_District,"15,436"
BG,CHP_Biomass_Solid,Heat_District,"7,459"
CH,HLR_Biomass,Heat_Low_Residential,"16,787"
CH,HLR_Hardcoal,Heat_Low_Residential,"0,356"
CH,HLR_Oil_Boiler,Heat_Low_Residential,"119,826"
CH,HLI_Biomass,Heat_Low_Industrial,"0,275"
CH,HLI_Hardcoal,Heat_Low_Industrial,"0,089"
CH,HLI_Direct_Electric,Heat_Low_Industrial,"0,076"
CH,HLI_Oil_Boiler,Heat_Low_Industrial,"0,86"
CH,*HLI_Gas_Boiler,Heat_Low_Industrial,"4,119"
CH,*HLI_Convert_DH,Heat_Low_Industrial,"2,012"
CH,HMI_Biomass,Heat_Medium_Industrial,"2,715"
CH,HMI_HardCoal,Heat_Medium_Industrial,"0,82"
CH,HMI_Steam_Electric,Heat_Medium_Industrial,"0,625"
CH,HMI_Oil,Heat_Medium_Industrial,"6,243"
CH,*HHI_BF_BOF,Heat_High_Industrial,"3,052"
CH,HHI_Bio_BF_BOF,Heat_High_Industrial,"0,508"
CH,HHI_Scrap_EAF,Heat_High_Industrial,"2,473"
CH,HHI_DRI_EAF,Heat_High_Industrial,"11,82"
CH,CHP_Gas_CCGT_Natural,Power,"5,251"
CH,P_Gas_CCGT,Power,"0,01"
CH,P_Nuclear,Power,"91,847"
CH,HLR_Heatpump_Aerial,Heat_Low_Residential,"10,007"
CH,HLR_Heatpump_Ground,Heat_Low_Residential,"0,527"
CH,HLR_Direct_Electric,Heat_Low_Residential,"16,088"
CH,P_Oil,Power,"0,086"
CZ,HLR_Biomass,Heat_Low_Residential,"49,501"
CZ,HLR_Hardcoal,Heat_Low_Residential,"30,227"
CZ,HLR_Oil_Boiler,Heat_Low_Residential,"2,482"
CZ,HLI_Biomass,Heat_Low_Industrial,"0,75"
CZ,HLI_Hardcoal,Heat_Low_Industrial,"1,305"
CZ,HLI_Direct_Electric,Heat_Low_Industrial,"0,048"
CZ,HLI_Oil_Boiler,Heat_Low_Industrial,"0,167"
CZ,*HLI_Gas_Boiler,Heat_Low_Industrial,"0,971"
CZ,*HLI_Convert_DH,Heat_Low_Industrial,"13,749"
CZ,HMI_Biomass,Heat_Medium_Industrial,"12,375"
CZ,HMI_HardCoal,Heat_Medium_Industrial,"6,158"
CZ,HMI_Steam_Electric,Heat_Medium_Industrial,"0,372"
CZ,HMI_Oil,Heat_Medium_Industrial,"4,018"
CZ,*HHI_BF_BOF,Heat_High_Industrial,"43,179"
CZ,HHI_Bio_BF_BOF,Heat_High_Industrial,"0,214"
CZ,HHI_Scrap_EAF,Heat_High_Industrial,"0,806"
CZ,HHI_DRI_EAF,Heat_High_Industrial,"22,257"
CZ,P_Gas_CCGT,Power,"7,237000000000001"
CZ,P_Gas_Engines,Power,"0,831"
CZ,P_Gas_OCGT,Power,"0,914"
CZ,P_Biomass,Power,"13,646"
CZ,P_Coal_Hardcoal,Power,"10,483"
CZ,P_Nuclear,Power,"102,047"
CZ,P_Coal_Lignite,Power,"116,598"
CZ,HLR_Heatpump_Aerial,Heat_Low_Residential,"3,404"
CZ,HLR_Heatpump_Ground,Heat_Low_Residential,"0,179"
CZ,HLR_Direct_Electric,Heat_Low_Residential,"12,458"
CZ,CHP_Coal_Hardcoal,Power,"3,844"
CZ,CHP_Coal_Lignite,Power,"18,016"
CZ,CHP_Oil,Power,"0,307"
CZ,CHP_Gas_CCGT_Natural,Power,"4,518"
CZ,CHP_Biomass_Solid,Power,"8,538"
CZ,CHP_Coal_Hardcoal,Heat_District,"10,876"
CZ,CHP_Coal_Lignite,Heat_District,"50,974"
CZ,CHP_Oil,Heat_District,"0,87"
CZ,CHP_Gas_CCGT_Natural,Heat_District,"12,783"
CZ,CHP_Biomass_Solid,Heat_District,"24,157"
DE,HLR_Biomass,Heat_Low_Residential,"251,332"
DE,HLR_Hardcoal,Heat_Low_Residential,"45,728"
DE,HLR_Oil_Boiler,Heat_Low_Residential,"681,617"
DE,HLI_Biomass,Heat_Low_Industrial,"5,19"
DE,HLI_Hardcoal,Heat_Low_Industrial,"5,076"
DE,HLI_Direct_Electric,Heat_Low_Industrial,"1,06"
DE,HLI_Oil_Boiler,Heat_Low_Industrial,"3,797"
DE,*HLI_Gas_Boiler,Heat_Low_Industrial,"19,724"
DE,*HLI_Convert_DH,Heat_Low_Industrial,"134,637"
DE,HMI_Biomass,Heat_Medium_Industrial,"46,579"
DE,HMI_HardCoal,Heat_Medium_Industrial,"35,555"
DE,HMI_Steam_Electric,Heat_Medium_Industrial,"10,751"
DE,HMI_Oil,Heat_Medium_Industrial,"69,756"
DE,*HHI_BF_BOF,Heat_High_Industrial,"235,967"
DE,HHI_Bio_BF_BOF,Heat_High_Industrial,"4,401"
DE,HHI_Scrap_EAF,Heat_High_Industrial,"28,601"
DE,HHI_DRI_EAF,Heat_High_Industrial,"272,768"
DE,P_Gas_CCGT,Power,"106,984"
DE,P_Gas_Engines,Power,"10,267"
DE,P_Gas_OCGT,Power,"30,237"
DE,P_Biomass,Power,"145,486"
DE,P_Coal_Hardcoal,Power,"233,776"
DE,P_Oil,Power,"8,178"
DE,P_Nuclear,Power,"259,217"
DE,P_Coal_Lignite,Power,"513,119"
DE,HLR_Heatpump_Aerial,Heat_Low_Residential,"32,082"
DE,HLR_Heatpump_Ground,Heat_Low_Residential,"1,689"
DE,HLR_Direct_Electric,Heat_Low_Residential,"46,072"
DE,CHP_Coal_Hardcoal,Power,"63,923"
DE,CHP_Coal_Lignite,Power,"13,051"
DE,CHP_Oil,Power,"6,514"
DE,CHP_Gas_CCGT_Natural,Power,"152,842"
DE,CHP_Biomass_Solid,Power,"45,608"
DE,CHP_Coal_Hardcoal,Heat_District,"135,708"
DE,CHP_Coal_Lignite,Heat_District,"27,707"
DE,CHP_Oil,Heat_District,"13,83"
DE,CHP_Gas_CCGT_Natural,Heat_District,"204,482"
DE,CHP_Biomass_Solid,Heat_District,"96,825"
DK,HLR_Biomass,Heat_Low_Residential,"38,037"
DK,HLR_Hardcoal,Heat_Low_Residential,"0,517"
DK,HLR_Oil_Boiler,Heat_Low_Residential,"17,887"
DK,HLI_Biomass,Heat_Low_Industrial,"0,58"
DK,HLI_Hardcoal,Heat_Low_Industrial,"0,561"
DK,HLI_Direct_Electric,Heat_Low_Industrial,"0,092"
DK,HLI_Oil_Boiler,Heat_Low_Industrial,"1,51"
DK,*HLI_Gas_Boiler,Heat_Low_Industrial,"3,453"
DK,*HLI_Convert_DH,Heat_Low_Industrial,"2,653"
DK,HMI_Biomass,Heat_Medium_Industrial,"4,831"
DK,HMI_HardCoal,Heat_Medium_Industrial,"0,811"
DK,HMI_Steam_Electric,Heat_Medium_Industrial,"0,441"
DK,HMI_Oil,Heat_Medium_Industrial,"6,167"
DK,*HHI_BF_BOF,Heat_High_Industrial,"1,113"
DK,HHI_Bio_BF_BOF,Heat_High_Industrial,"0,089"
DK,HHI_Scrap_EAF,Heat_High_Industrial,"0,039"
DK,HHI_DRI_EAF,Heat_High_Industrial,"5,331"
DK,P_Gas_OCGT,Power,"0,288"
DK,P_Oil,Power,"0,678"
DK,HLR_Heatpump_Aerial,Heat_Low_Residential,"5,546"
DK,HLR_Heatpump_Ground,Heat_Low_Residential,"0,292"
DK,HLR_Direct_Electric,Heat_Low_Residential,"6,404"
DK,CHP_Coal_Hardcoal,Power,"8,503"
DK,CHP_Oil,Power,"0,901"
DK,CHP_Gas_CCGT_Natural,Power,"5,708"
DK,CHP_Biomass_Solid,Power,"21,796"
DK,CHP_Coal_Hardcoal,Heat_District,"19,698"
DK,CHP_Oil,Heat_District,"2,086"
DK,CHP_Gas_CCGT_Natural,Heat_District,"13,223"
DK,CHP_Biomass_Solid,Heat_District,"50,49"
DK,P_Coal_Hardcoal,Power,"13,0"
EE,HLR_Biomass,Heat_Low_Residential,"18,417"
EE,HLR_Hardcoal,Heat_Low_Residential,"0,681"
EE,HLR_Oil_Boiler,Heat_Low_Residential,"3,131"
EE,HLI_Biomass,Heat_Low_Industrial,"0,174"
EE,HLI_Hardcoal,Heat_Low_Industrial,"0,0"
EE,HLI_Direct_Electric,Heat_Low_Industrial,"0,007"
EE,HLI_Oil_Boiler,Heat_Low_Industrial,"0,232"
EE,*HLI_Gas_Boiler,Heat_Low_Industrial,"0,0"
EE,*HLI_Convert_DH,Heat_Low_Industrial,"0,585"
EE,HMI_Biomass,Heat_Medium_Industrial,"1,921"
EE,HMI_HardCoal,Heat_Medium_Industrial,"0,271"
EE,HMI_Steam_Electric,Heat_Medium_Industrial,"0,037"
EE,HMI_Oil,Heat_Medium_Industrial,"2,263"
EE,*HHI_BF_BOF,Heat_High_Industrial,"0,593"
EE,HHI_Bio_BF_BOF,Heat_High_Industrial,"0,005"
EE,HHI_Scrap_EAF,Heat_High_Industrial,"0,004"
EE,HHI_DRI_EAF,Heat_High_Industrial,"0,668"
EE,P_Gas_OCGT,Power,"0,207"
EE,*P_Oil,Power,"0,218"
EE,HLR_Heatpump_Aerial,Heat_Low_Residential,"1,601"
EE,HLR_Heatpump_Ground,Heat_Low_Residential,"0,084"
EE,HLR_Direct_Electric,Heat_Low_Residential,"1,329"
EE,CHP_Coal_Hardcoal,Power,"0,851"
EE,CHP_Oil,Power,"0,528"
EE,CHP_Gas_CCGT_Natural,Power,"0,002"
EE,CHP_Biomass_Solid,Power,"2,548"
EE,CHP_Coal_Hardcoal,Heat_District,"0,75"
EE,CHP_Oil,Heat_District,"0,465"
EE,CHP_Gas_CCGT_Natural,Heat_District,"0,002"
EE,CHP_Biomass_Solid,Heat_District,"2,248"
EE,CHP_Gas_CCGT_Natural,Heat_District,"0,0"
EE,P_Coal_Hardcoal,Power,"35,646"
ES,HLR_Biomass,Heat_Low_Residential,"115,264"
ES,HLR_Hardcoal,Heat_Low_Residential,"6,08"
ES,HLR_Oil_Boiler,Heat_Low_Residential,"125,505"
ES,HLI_Biomass,Heat_Low_Industrial,"5,807"
ES,HLI_Hardcoal,Heat_Low_Industrial,"0,405"
ES,HLI_Direct_Electric,Heat_Low_Industrial,"0,334"
ES,HLI_Oil_Boiler,Heat_Low_Industrial,"2,241"
ES,*HLI_Gas_Boiler,Heat_Low_Industrial,"0,0"
ES,*HLI_Convert_DH,Heat_Low_Industrial,"0,0"
ES,HMI_Biomass,Heat_Medium_Industrial,"30,279"
ES,HMI_HardCoal,Heat_Medium_Industrial,"2,168"
ES,HMI_Steam_Electric,Heat_Medium_Industrial,"3,953"
ES,HMI_Oil,Heat_Medium_Industrial,"33,24"
ES,*HHI_BF_BOF,Heat_High_Industrial,"29,376"
ES,HHI_Bio_BF_BOF,Heat_High_Industrial,"5,253"
ES,HHI_Scrap_EAF,Heat_High_Industrial,"18,433"
ES,HHI_DRI_EAF,Heat_High_Industrial,"109,49"
ES,P_Gas_CCGT,Power,"123,952"
ES,P_Gas_OCGT,Power,"0,262"
ES,P_Biomass,Power,"19,267"
ES,P_Coal_Hardcoal,Power,"136,983"
ES,P_Oil,Power,"41,754"
ES,P_Nuclear,Power,"190,191"
ES,P_Coal_Lignite,Power,"0,0"
ES,HLR_Heatpump_Aerial,Heat_Low_Residential,"3,466"
ES,HLR_Heatpump_Ground,Heat_Low_Residential,"0,182"
ES,HLR_Direct_Electric,Heat_Low_Residential,"31,063"
ES,CHP_Coal_Hardcoal,Power,"2,337"
ES,CHP_Oil,Power,"7,474"
ES,CHP_Gas_CCGT_Natural,Power,"84,586"
ES,CHP_Biomass_Solid,Power,"9,253"
ES,CHP_Coal_Hardcoal,Heat_District,"3,177"
ES,CHP_Oil,Heat_District,"10,159"
ES,CHP_Gas_CCGT_Natural,Heat_District,"114,963"
ES,CHP_Biomass_Solid,Heat_District,"12,576"
FI,HLR_Biomass,Heat_Low_Residential,"57,171"
FI,HLR_Hardcoal,Heat_Low_Residential,"3,586"
FI,HLR_Oil_Boiler,Heat_Low_Residential,"47,33"
FI,HLI_Biomass,Heat_Low_Industrial,"2,554"
FI,HLI_Hardcoal,Heat_Low_Industrial,"0,581"
FI,HLI_Direct_Electric,Heat_Low_Industrial,"0,0"
FI,HLI_Oil_Boiler,Heat_Low_Industrial,"0,661"
FI,*HLI_Gas_Boiler,Heat_Low_Industrial,"0,0"
FI,*HLI_Convert_DH,Heat_Low_Industrial,"24,652"
FI,HMI_Biomass,Heat_Medium_Industrial,"105,535"
FI,HMI_HardCoal,Heat_Medium_Industrial,"7,235"
FI,HMI_Steam_Electric,Heat_Medium_Industrial,"0,422"
FI,HMI_Oil,Heat_Medium_Industrial,"16,744"
FI,*HHI_BF_BOF,Heat_High_Industrial,"13,104"
FI,HHI_Bio_BF_BOF,Heat_High_Industrial,"2,032"
FI,HHI_Scrap_EAF,Heat_High_Industrial,"2,009"
FI,HHI_DRI_EAF,Heat_High_Industrial,"0,588"
FI,P_Gas_CCGT,Power,"0,279"
FI,P_Gas_OCGT,Power,"7,085"
FI,P_Biomass,Power,"8,598"
FI,P_Coal_Hardcoal,Power,"17,397"
FI,P_Oil,Power,"0,403"
FI,P_Nuclear,Power,"77,736"
FI,HLR_Heatpump_Aerial,Heat_Low_Residential,"15,029"
FI,HLR_Heatpump_Ground,Heat_Low_Residential,"0,791"
FI,HLR_Direct_Electric,Heat_Low_Residential,"63,981"
FI,CHP_Coal_Hardcoal,Power,"18,851"
FI,CHP_Oil,Power,"0,428"
FI,CHP_Gas_CCGT_Natural,Power,"8,014"
FI,CHP_Biomass_Solid,Power,"51,691"
FI,CHP_Coal_Hardcoal,Heat_District,"56,388"
FI,CHP_Oil,Heat_District,"1,28"
