"TradeCosts{f in FUEL, r in REGION1, rr in REGION2}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Costs for trading a fuel from one region to another., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Unit: M€/PJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,FR,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,GR,HR,HU,IE,IT,LT,LU,LV,NONEU_Balkan,NL,PL,PT,RO,SE,SI,SK,UK,TR,NO1,NO2,NO3,NO4,NO5
Biofuel,HU,"5,022339805122129","2,717739376022473","4,151356621532882","3,346107227183677","3,681825840694885","2,759049909975538","3,573552892939617","4,188907898067777",0,0,0,"3,845187185967443","2,518054242939139",0,0,"3,509121885108759","3,867301749573027","3,96890709766899","4,145191588251903","2,939127944631976","4,148955569442538","3,091965002996924",0,"2,854160753604285","4,918875342328037","2,632019705625313","1,931381652358942",0,0,0,0,0,0,0
Biofuel,IE,"4,346615222243257",0,"3,806451966232152",0,0,0,"4,348804766110558","4,248064093851937",0,"4,601355168376902",0,0,0,0,0,0,0,"4,018467785145199",0,0,"3,819912004719832",0,0,0,0,0,0,"2,614387223485727",0,"4,524633647403362","4,176000561579898","4,645598356506541","5,461079159234144","4,310267708025695"
Biofuel,IT,"4,262429283370455","3,105413817189302","3,992387153775948","4,046425302456977","3,065342249381056","3,613848595330901","3,82302795013297","4,592697889757562",0,"4,42272478245764",0,"3,940654174084085","2,791168903388146","3,509121885108761",0,0,0,"3,771256263676051",0,"3,169449678116885","4,173177166491476","4,19282849261631",0,"4,057193944251711","5,444009542404179","2,796305193848038","3,722020495447568","4,836076281267951",0,0,0,0,0,0
Biofuel,LT,0,"4,075576506801706",0,0,0,"3,681874087183381","3,953603527556623","3,72014098657718","2,673106507402049",0,"3,970779466292664",0,"4,316683062063656","3,867301749573027",0,0,0,0,"1,971389273416956",0,"4,298781161281466","2,884841011084538",0,"4,021725552228301","3,80495018335048","4,239037285940429","3,586132388676505",0,0,"3,871796500389401","3,998221203048921","4,130776345259916","4,675119722154544","4,132246652694838"
Biofuel,LU,"4,063866180163563","3,283234971243642","1,781134466546957",0,"2,62354498337655","3,334142725638993","2,541668927851564","3,476220402989155",0,"4,377646253670187",0,0,"3,829538952447578","3,96890709766899","4,018467785145199","3,771256263676056",0,0,0,0,"2,350868442101679","3,880610250524298",0,0,"4,732492522363578","3,532361848588186","3,899440723877234","3,565797264743752",0,"4,296425844006106","3,959354585598529","4,586966392170527","5,448413699405881","4,244627075258463"
Biofuel,LV,0,"4,318904761738234",0,0,0,"3,954714881895394","4,149243215397188","3,802316250485884","2,077312327616474",0,"3,684076084728178",0,0,"4,145191588251903",0,0,"1,971389273416956",0,0,0,"4,428344545482719","3,274710891370572",0,"4,265042315160018","3,595108327984942",0,"3,893291831794853",0,0,"3,860440776289164","4,036536096587539","4,050198375699991","4,478014744479452","4,132246652694838"
Biofuel,NL,"4,348217259885272","3,5991274396724","2,021434609933225",0,"3,277498687172908","3,477924150428157","2,591932722062449","2,980998726540256",0,"4,643346954389413",0,0,"4,126941038884795","4,148955569442538","3,819912004719832","4,173177166491476","4,298781161281466","2,350868442101679","4,428344545482719",0,0,"3,837837523580625",0,0,"4,426350817824622","3,862184837390758","4,023944839691288","3,2069359155166",0,"3,886324620996233","3,521715494163921","4,231884962851407","5,186383726539071","3,827720016915931"
Biofuel,NONEU_Balkan,"4,989930577167668","3,338280335757522",0,"2,946418607794188","3,894685725675439","3,644050100625648","4,14703959476323",0,0,0,0,"3,021763265760289","2,541315788389592","2,939127944631976",0,"3,169449678116885",0,0,0,0,0,"3,989142411300909",0,"3,130793017327636",0,"2,997921087807911","3,319795884506989",0,0,0,0,0,0,0
Biofuel,PL,"5,19645010724654","3,262554000597866","3,988216083959336","4,127371438295826","3,931857598594759","2,689035078210574","3,269874224830719","3,490779029681603","3,637057171282518",0,"4,539735801008262","4,602149409877002","3,624128607039699","3,091965002996924",0,"4,19282849261631","2,884841011084538","3,880610250524298","3,274710891370575","3,989142411300909","3,837837523580625",0,0,"3,607990947723832","4,224108464493462","3,492728260095063","2,661138434228968","4,63027272952501",0,"4,101205851792225","4,056248643237275","4,38120733667767","5,089510559556176","4,21480656482405"
Biofuel,PT,"3,11195106731335",0,0,0,0,0,0,0,0,"2,774493472204497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,835020965110817",0,0,0,0,0,0
Biofuel,RO,"5,450965929802312","3,681561964978112",0,"2,553031887701709","4,357219428551624","3,666955659307665","4,264120540140325","4,668265580514454",0,0,0,"3,541370891860492","3,357960721169554","2,854160753604285",0,"4,057193944251711","4,021725552228301",0,"4,265042315160018","3,130793017327636",0,"3,607990947723832",0,0,0,"3,568872140540745","3,028193885524042",0,"3,764382315753432",0,0,0,0,0
Biofuel,SE,"5,796353175014215","4,864998731836435","4,670539265205218",0,"5,043222476259795","4,569563009534377","4,440291201217501","2,716115252029955","3,32702766729763",0,"2,985621075752367",0,"5,168688255785908","4,918875342328037",0,"5,444009542404179","3,80495018335048","4,732492522363578","3,595108327984942",0,"4,426350817824622","4,224108464493462",0,0,0,"5,044058928776945","4,719339773856191","4,608530499703703",0,"2,858335323281074","3,148303875253087","2,389256341203711","3,270137316874651","3,119521428734023"
