Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
BG,HLI_Oil_Boiler,2018,0.043,,PJ,,,
BG,HLR_Biomass,2018,0.9866,,PJ,,,
BG,HLR_Direct_Electric,2018,0.4434,,PJ,,,
BG,HLR_Gas_Boiler,2018,7.1873,,PJ,,,
BG,HLR_Hardcoal,2018,0.1589,,PJ,,,
BG,HLR_Oil_Boiler,2018,0.0452,,PJ,,,
BG,HMI_Biomass,2018,0.1205,,PJ,,,
BG,HMI_Gas,2018,9.4671,,PJ,,,
BG,HMI_HardCoal,2018,0.7286,,PJ,,,
BG,HMI_Oil,2018,0.0389,,PJ,,,
BG,HMI_Steam_Electric,2018,0.0109,,PJ,,,
BG,P_Biomass,2018,0.28165,,PJ,,,
BG,P_Coal_Hardcoal,2018,0.71,,PJ,,,
BG,P_Coal_Lignite,2018,4.2,,PJ,,,
BG,P_Gas,2018,0.99,,PJ,,,
BG,P_Gas_CCGT,2018,0.102,,PJ,,,
BG,P_Gas_OCGT,2018,0,,PJ,,,
BG,P_Nuclear,2018,2.2,,PJ,,,
BG,P_Oil,2018,0.6,,PJ,,,
BG,RES_Hydro_Large,2018,0.864,,PJ,,,
BG,RES_Hydro_Small,2018,2.333,,PJ,,,
BG,RES_PV_Utility_Avg,2018,1.188,,PJ,,,
BG,RES_Wind_Offshore_Transitional,2018,0,,PJ,,,
BG,RES_Wind_Onshore_Avg,2018,0.8184,,PJ,,,
CH,CHP_Gas_CCGT_Natural,2018,0.506,,PJ,,,
CH,D_PHS,2018,0,,PJ,,,
CH,HHI_BF_BOF,2018,0.9664,,PJ,,,
CH,HHI_DRI_EAF,2018,0.2017,,PJ,,,
CH,HHI_Scrap_EAF,2018,0.2598,,PJ,,,
CH,HLI_Biomass,2018,0.0714,,PJ,,,
CH,HLI_Direct_Electric,2018,0.0081,,PJ,,,
CH,HLI_Gas_Boiler,2018,1.5198,,PJ,,,
CH,HLI_Hardcoal,2018,0.0007,,PJ,,,
CH,HLI_Oil_Boiler,2018,0.0972,,PJ,,,
CH,HLR_Biomass,2018,0.9688,,PJ,,,
CH,HLR_Gas_Boiler,2018,23.4589,,PJ,,,
CH,HLR_Oil_Boiler,2018,3.6431,,PJ,,,
CH,HMI_Biomass,2018,0.2211,,PJ,,,
CH,HMI_Gas,2018,3.2398,,PJ,,,
CH,HMI_HardCoal,2018,0.0006,,PJ,,,
CH,HMI_Oil,2018,0.0845,,PJ,,,
CH,HMI_Steam_Electric,2018,0.0268,,PJ,,,
CH,P_Biomass,2018,0.39,,PJ,,,
CH,P_Coal_Hardcoal,2018,0,,PJ,,,
CH,P_Coal_Lignite,2018,0,,PJ,,,
CH,P_Gas,2018,0.35,,PJ,,,
CH,P_Gas_CCGT,2018,0.132,,PJ,,,
CH,P_Nuclear,2018,3.278,,PJ,,,
CH,P_Oil,2018,0.66,,PJ,,,
CH,RES_Hydro_Large,2018,10.39,,PJ,,,
CH,RES_Hydro_Large_Base,2018,10.39,,PJ,,,
CH,RES_Hydro_Small,2018,3.854,,PJ,,,
CH,RES_PV_Utility_Avg,2018,1.086,,PJ,,,
CH,RES_Wind_Offshore_Transitional,2018,0,,PJ,,,
CH,RES_Wind_Onshore_Avg,2018,0.08,,PJ,,,
CZ,CHP_Biomass_Solid,2018,2.014231048,,PJ,,,
CZ,CHP_Coal_Hardcoal,2018,1.610605845,,PJ,,,
CZ,CHP_Coal_Lignite,2018,3.546425603,,PJ,,,
CZ,CHP_Gas_CCGT_Natural,2018,1.065810875,,PJ,,,
CZ,CHP_Oil,2018,0.072521979,,PJ,,,
CZ,D_PHS,2018,1.88,,PJ,,,
CZ,HHI_BF_BOF,2018,5.6663,,PJ,,,
CZ,HHI_DRI_EAF,2018,0.5289,,PJ,,,
CZ,HHI_Scrap_EAF,2018,0.0832,,PJ,,,
CZ,HLI_Biomass,2018,0.292,,PJ,,,
CZ,HLI_Direct_Electric,2018,0.0364,,PJ,,,
CZ,HLI_Gas_Boiler,2018,3.4186,,PJ,,,
CZ,HLI_Hardcoal,2018,0.015,,PJ,,,
CZ,HLI_Lignite,2018,0.0452,,PJ,,,
CZ,HLI_Oil_Boiler,2018,0.0465,,PJ,,,
CZ,HLR_Biomass,2018,2.4485,,PJ,,,
CZ,HLR_Direct_Electric,2018,0.6378,,PJ,,,
CZ,HLR_Gas_Boiler,2018,23.6952,,PJ,,,
CZ,HLR_Hardcoal,2018,1.0371,,PJ,,,
CZ,HLR_Oil_Boiler,2018,0.0729,,PJ,,,
CZ,HMI_Biomass,2018,0.0701,,PJ,,,
CZ,HMI_Gas,2018,16.462,,PJ,,,
CZ,HMI_HardCoal,2018,1.7621,,PJ,,,
CZ,HMI_Oil,2018,0.0929,,PJ,,,
CZ,HMI_Steam_Electric,2018,0.0156,,PJ,,,
CZ,P_Biomass,2018,0.83,,PJ,,,
CZ,P_Coal_Hardcoal,2018,1.27,,PJ,,,
CZ,P_Coal_Lignite,2018,8.85,,PJ,,,
CZ,P_Gas,2018,1.57,,PJ,,,
CZ,P_Gas_CCGT,2018,0.964,,PJ,,,
CZ,P_Gas_Engines,2018,0.06,,PJ,,,
CZ,P_Gas_OCGT,2018,0,,PJ,,,
CZ,P_Gas_OCGT,2018,0.04,,PJ,,,
CZ,P_Nuclear,2018,3.92,,PJ,,,
CZ,P_Oil,2018,0.113,,PJ,,,
CZ,RES_Hydro_Large,2018,1.88,,PJ,,,
CZ,RES_Hydro_Small,2018,0.25,,PJ,,,
