Region,Technology,Year,Value,Unnamed: 4,Unit,Source,Updated at,Updated by
World,HLI_Gas_CHP,2018,0.98,,Fraction,,,
World,HLI_Biomass,2018,0.98,,Fraction,,,
World,HLI_Biomass_CHP,2018,0.98,,Fraction,,,
World,HLI_Hardcoal,2018,0.98,,Fraction,,,
World,HLI_Lignite,2018,0.98,,Fraction,,,
World,HLI_Hardcoal_CHP,2018,0.98,,Fraction,,,
World,HLI_Lignite_CHP,2018,0.98,,Fraction,,,
World,HLI_Solar_Thermal,2018,0.98,,Fraction,,,
World,HLI_Fuelcell,2018,0.98,,Fraction,,,
World,HLI_Geothermal,2018,0.98,,Fraction,,,
World,HLI_Oil_Boiler,2018,0.98,,Fraction,,,
World,HLI_Direct_Electric,2018,0.98,,Fraction,,,
World,HLI_Oil_CHP,2018,0.98,,Fraction,,,
World,HMI_Gas,2018,0.98,,Fraction,,,
World,HMI_H2,2018,0.98,,Fraction,,,
World,HMI_Biomass,2018,0.98,,Fraction,,,
World,HMI_HardCoal,2018,0.98,,Fraction,,,
World,HMI_Steam_Electric,2018,0.98,,Fraction,,,
World,HMI_Oil,2018,0.98,,Fraction,,,
World,HHI_BF_BOF,2018,0.98,,Fraction,,,
World,HHI_DRI_EAF,2018,0.98,,Fraction,,,
World,HHI_Scrap_EAF,2018,0.98,,Fraction,,,
World,HHI_H2DRI_EAF,2018,0.98,,Fraction,,,
World,HHI_Molten_Electrolysis,2018,0.98,,Fraction,,,
World,HHI_Bio_BF_BOF,2018,0.98,,Fraction,,,
World,HHI_BF_BOF_CCS,2018,0.98,,Fraction,,,
World,HHI_DRI_EAF_CCS,2018,0.98,,Fraction,,,
World,HLI_Biomass_CHP_CCS,2018,0.98,,Fraction,,,
World,HLI_Hardcoal_CHP_CCS,2018,0.98,,Fraction,,,
World,HLI_Lignite_CHP_CCS,2018,0.98,,Fraction,,,
World,HLR_Biomass_CHP_CCS,2018,0.98,,Fraction,,,
World,HLR_Hardcoal_CHP_CCS,2018,0.98,,Fraction,,,
World,HLR_Lignite_CHP_CCS,2018,0.98,,Fraction,,,
World,HMI_Gas_CCS,2018,0.98,,Fraction,,,
World,HMI_HardCoal_CCS,2018,0.98,,Fraction,,,
World,P_Coal_Hardcoal_CCS,2018,0.98,,Fraction,,,
World,P_Coal_Lignite_CCS,2018,0.98,,Fraction,,,
