Region,Technology,Emission,Year,Value
DE,FRT_Road_PHEV,CO2,2040,1
World,FRT_Road_PHEV,CO2,2045,0
DE,FRT_Road_PHEV,CO2,2045,1
World,FRT_Road_PHEV,CO2,2050,0
DE,FRT_Road_PHEV,CO2,2050,1
World,FRT_Ship_Conv,CO2,2018,0
DE,FRT_Ship_Conv,CO2,2018,1
World,FRT_Ship_Conv,CO2,2020,0
DE,FRT_Ship_Conv,CO2,2020,1
World,FRT_Ship_Conv,CO2,2025,0
DE,FRT_Ship_Conv,CO2,2025,1
World,FRT_Ship_Conv,CO2,2030,0
DE,FRT_Ship_Conv,CO2,2030,1
World,FRT_Ship_Conv,CO2,2035,0
DE,FRT_Ship_Conv,CO2,2035,1
World,FRT_Ship_Conv,CO2,2040,0
DE,FRT_Ship_Conv,CO2,2040,1
World,FRT_Ship_Conv,CO2,2045,0
DE,FRT_Ship_Conv,CO2,2045,1
World,FRT_Ship_Conv,CO2,2050,0
DE,FRT_Ship_Conv,CO2,2050,1
DE,FRT_Ship_LNG,CO2,2018,1
DE,FRT_Ship_LNG,CO2,2020,1
DE,FRT_Ship_LNG,CO2,2025,1
DE,FRT_Ship_LNG,CO2,2030,1
DE,FRT_Ship_LNG,CO2,2035,1
DE,FRT_Ship_LNG,CO2,2040,1
DE,FRT_Ship_LNG,CO2,2045,1
DE,FRT_Ship_LNG,CO2,2050,1
World,HHI_BF_BOF,CO2,2018,1
DE,HHI_BF_BOF,CO2,2018,1
World,HHI_BF_BOF,CO2,2020,1
DE,HHI_BF_BOF,CO2,2020,1
World,HHI_BF_BOF,CO2,2025,1
DE,HHI_BF_BOF,CO2,2025,1
World,HHI_BF_BOF,CO2,2030,1
DE,HHI_BF_BOF,CO2,2030,1
World,HHI_BF_BOF,CO2,2035,1
DE,HHI_BF_BOF,CO2,2035,1
World,HHI_BF_BOF,CO2,2040,1
DE,HHI_BF_BOF,CO2,2040,1
World,HHI_BF_BOF,CO2,2045,1
DE,HHI_BF_BOF,CO2,2045,1
World,HHI_BF_BOF,CO2,2050,1
DE,HHI_BF_BOF,CO2,2050,1
World,HHI_BF_BOF_CCS,CO2,2018,1
DE,HHI_BF_BOF_CCS,CO2,2018,1
World,HHI_BF_BOF_CCS,CO2,2020,1
DE,HHI_BF_BOF_CCS,CO2,2020,1
World,HHI_BF_BOF_CCS,CO2,2025,1
DE,HHI_BF_BOF_CCS,CO2,2025,1
World,HHI_BF_BOF_CCS,CO2,2030,1
DE,HHI_BF_BOF_CCS,CO2,2030,1
World,HHI_BF_BOF_CCS,CO2,2035,1
DE,HHI_BF_BOF_CCS,CO2,2035,1
World,HHI_BF_BOF_CCS,CO2,2040,1
DE,HHI_BF_BOF_CCS,CO2,2040,1
World,HHI_BF_BOF_CCS,CO2,2045,1
DE,HHI_BF_BOF_CCS,CO2,2045,1
World,HHI_BF_BOF_CCS,CO2,2050,1
DE,HHI_BF_BOF_CCS,CO2,2050,1
World,HHI_Bio_BF_BOF,CO2,2018,1
DE,HHI_Bio_BF_BOF,CO2,2018,1
World,HHI_Bio_BF_BOF,CO2,2020,1
DE,HHI_Bio_BF_BOF,CO2,2020,1
World,HHI_Bio_BF_BOF,CO2,2025,1
DE,HHI_Bio_BF_BOF,CO2,2025,1
World,HHI_Bio_BF_BOF,CO2,2030,1
DE,HHI_Bio_BF_BOF,CO2,2030,1
World,HHI_Bio_BF_BOF,CO2,2035,1
DE,HHI_Bio_BF_BOF,CO2,2035,1
World,HHI_Bio_BF_BOF,CO2,2040,1
DE,HHI_Bio_BF_BOF,CO2,2040,1
World,HHI_Bio_BF_BOF,CO2,2045,1
DE,HHI_Bio_BF_BOF,CO2,2045,1
World,HHI_Bio_BF_BOF,CO2,2050,1
DE,HHI_Bio_BF_BOF,CO2,2050,1
World,HHI_DRI_EAF,CO2,2018,1
DE,HHI_DRI_EAF,CO2,2018,1
World,HHI_DRI_EAF,CO2,2020,1
DE,HHI_DRI_EAF,CO2,2020,1
World,HHI_DRI_EAF,CO2,2025,1
DE,HHI_DRI_EAF,CO2,2025,1
World,HHI_DRI_EAF,CO2,2030,1
DE,HHI_DRI_EAF,CO2,2030,1
World,HHI_DRI_EAF,CO2,2035,1
DE,HHI_DRI_EAF,CO2,2035,1
World,HHI_DRI_EAF,CO2,2040,1
DE,HHI_DRI_EAF,CO2,2040,1
World,HHI_DRI_EAF,CO2,2045,1
DE,HHI_DRI_EAF,CO2,2045,1
World,HHI_DRI_EAF,CO2,2050,1
DE,HHI_DRI_EAF,CO2,2050,1
World,HHI_DRI_EAF_CCS,CO2,2018,1
DE,HHI_DRI_EAF_CCS,CO2,2018,1
World,HHI_DRI_EAF_CCS,CO2,2020,1
DE,HHI_DRI_EAF_CCS,CO2,2020,1
World,HHI_DRI_EAF_CCS,CO2,2025,1
DE,HHI_DRI_EAF_CCS,CO2,2025,1
World,HHI_DRI_EAF_CCS,CO2,2030,1
DE,HHI_DRI_EAF_CCS,CO2,2030,1
World,HHI_DRI_EAF_CCS,CO2,2035,1
DE,HHI_DRI_EAF_CCS,CO2,2035,1
World,HHI_DRI_EAF_CCS,CO2,2040,1
DE,HHI_DRI_EAF_CCS,CO2,2040,1
World,HHI_DRI_EAF_CCS,CO2,2045,1
DE,HHI_DRI_EAF_CCS,CO2,2045,1
World,HHI_DRI_EAF_CCS,CO2,2050,1
DE,HHI_DRI_EAF_CCS,CO2,2050,1
World,HHI_H2DRI_EAF,CO2,2018,1
DE,HHI_H2DRI_EAF,CO2,2018,1
World,HHI_H2DRI_EAF,CO2,2020,1
DE,HHI_H2DRI_EAF,CO2,2020,1
World,HHI_H2DRI_EAF,CO2,2025,1
DE,HHI_H2DRI_EAF,CO2,2025,1
World,HHI_H2DRI_EAF,CO2,2030,1
DE,HHI_H2DRI_EAF,CO2,2030,1
World,HHI_H2DRI_EAF,CO2,2035,1
DE,HHI_H2DRI_EAF,CO2,2035,1
World,HHI_H2DRI_EAF,CO2,2040,1
DE,HHI_H2DRI_EAF,CO2,2040,1
World,HHI_H2DRI_EAF,CO2,2045,1
DE,HHI_H2DRI_EAF,CO2,2045,1
World,HHI_H2DRI_EAF,CO2,2050,1
DE,HHI_H2DRI_EAF,CO2,2050,1
World,HHI_Molten_Electrolysis,CO2,2018,1
DE,HHI_Molten_Electrolysis,CO2,2018,1
World,HHI_Molten_Electrolysis,CO2,2020,1
DE,HHI_Molten_Electrolysis,CO2,2020,1
World,HHI_Molten_Electrolysis,CO2,2025,1
DE,HHI_Molten_Electrolysis,CO2,2025,1
World,HHI_Molten_Electrolysis,CO2,2030,1
DE,HHI_Molten_Electrolysis,CO2,2030,1
World,HHI_Molten_Electrolysis,CO2,2035,1
DE,HHI_Molten_Electrolysis,CO2,2035,1
World,HHI_Molten_Electrolysis,CO2,2040,1
DE,HHI_Molten_Electrolysis,CO2,2040,1
World,HHI_Molten_Electrolysis,CO2,2045,1
DE,HHI_Molten_Electrolysis,CO2,2045,1
World,HHI_Molten_Electrolysis,CO2,2050,1
DE,HHI_Molten_Electrolysis,CO2,2050,1
World,HHI_Scrap_EAF,CO2,2018,1
DE,HHI_Scrap_EAF,CO2,2018,1
World,HHI_Scrap_EAF,CO2,2020,1
DE,HHI_Scrap_EAF,CO2,2020,1
World,HHI_Scrap_EAF,CO2,2025,1
DE,HHI_Scrap_EAF,CO2,2025,1
World,HHI_Scrap_EAF,CO2,2030,1
DE,HHI_Scrap_EAF,CO2,2030,1
World,HHI_Scrap_EAF,CO2,2035,1
DE,HHI_Scrap_EAF,CO2,2035,1
World,HHI_Scrap_EAF,CO2,2040,1
DE,HHI_Scrap_EAF,CO2,2040,1
World,HHI_Scrap_EAF,CO2,2045,1
DE,HHI_Scrap_EAF,CO2,2045,1
World,HHI_Scrap_EAF,CO2,2050,1
DE,HHI_Scrap_EAF,CO2,2050,1
World,HLI_Biomass,CO2,2018,1
DE,HLI_Biomass,CO2,2018,1
World,HLI_Biomass,CO2,2020,1
DE,HLI_Biomass,CO2,2020,1
World,HLI_Biomass,CO2,2025,1
DE,HLI_Biomass,CO2,2025,1
World,HLI_Biomass,CO2,2030,1
DE,HLI_Biomass,CO2,2030,1
World,HLI_Biomass,CO2,2035,1
DE,HLI_Biomass,CO2,2035,1
World,HLI_Biomass,CO2,2040,1
DE,HLI_Biomass,CO2,2040,1
World,HLI_Biomass,CO2,2045,1
DE,HLI_Biomass,CO2,2045,1
World,HLI_Biomass,CO2,2050,1
DE,HLI_Biomass,CO2,2050,1
World,HLI_Biomass_CHP,CO2,2018,1
DE,HLI_Biomass_CHP,CO2,2018,1
World,HLI_Biomass_CHP,CO2,2020,1
DE,HLI_Biomass_CHP,CO2,2020,1
World,HLI_Biomass_CHP,CO2,2025,1
DE,HLI_Biomass_CHP,CO2,2025,1
World,HLI_Biomass_CHP,CO2,2030,1
DE,HLI_Biomass_CHP,CO2,2030,1
World,HLI_Biomass_CHP,CO2,2035,1
DE,HLI_Biomass_CHP,CO2,2035,1
World,HLI_Biomass_CHP,CO2,2040,1
DE,HLI_Biomass_CHP,CO2,2040,1
World,HLI_Biomass_CHP,CO2,2045,1
DE,HLI_Biomass_CHP,CO2,2045,1
World,HLI_Biomass_CHP,CO2,2050,1
DE,HLI_Biomass_CHP,CO2,2050,1
World,HLI_Biomass_CHP_CCS,CO2,2018,1
DE,HLI_Biomass_CHP_CCS,CO2,2018,1
World,HLI_Biomass_CHP_CCS,CO2,2020,1
DE,HLI_Biomass_CHP_CCS,CO2,2020,1
World,HLI_Biomass_CHP_CCS,CO2,2025,1
DE,HLI_Biomass_CHP_CCS,CO2,2025,1
World,HLI_Biomass_CHP_CCS,CO2,2030,1
DE,HLI_Biomass_CHP_CCS,CO2,2030,1
World,HLI_Biomass_CHP_CCS,CO2,2035,1
DE,HLI_Biomass_CHP_CCS,CO2,2035,1
World,HLI_Biomass_CHP_CCS,CO2,2040,1
DE,HLI_Biomass_CHP_CCS,CO2,2040,1
World,HLI_Biomass_CHP_CCS,CO2,2045,1
DE,HLI_Biomass_CHP_CCS,CO2,2045,1
World,HLI_Biomass_CHP_CCS,CO2,2050,1
DE,HLI_Biomass_CHP_CCS,CO2,2050,1
World,HLI_Direct_Electric,CO2,2018,1
DE,HLI_Direct_Electric,CO2,2018,1
World,HLI_Direct_Electric,CO2,2020,1
DE,HLI_Direct_Electric,CO2,2020,1
World,HLI_Direct_Electric,CO2,2025,1
DE,HLI_Direct_Electric,CO2,2025,1
World,HLI_Direct_Electric,CO2,2030,1
DE,HLI_Direct_Electric,CO2,2030,1
World,HLI_Direct_Electric,CO2,2035,1
DE,HLI_Direct_Electric,CO2,2035,1
World,HLI_Direct_Electric,CO2,2040,1
DE,HLI_Direct_Electric,CO2,2040,1
World,HLI_Direct_Electric,CO2,2045,1
DE,HLI_Direct_Electric,CO2,2045,1
World,HLI_Direct_Electric,CO2,2050,1
DE,HLI_Direct_Electric,CO2,2050,1
World,HLI_Fuelcell,CO2,2018,1
DE,HLI_Fuelcell,CO2,2018,1
World,HLI_Fuelcell,CO2,2020,1
DE,HLI_Fuelcell,CO2,2020,1
World,HLI_Fuelcell,CO2,2025,1
DE,HLI_Fuelcell,CO2,2025,1
World,HLI_Fuelcell,CO2,2030,1
DE,HLI_Fuelcell,CO2,2030,1
World,HLI_Fuelcell,CO2,2035,1
DE,HLI_Fuelcell,CO2,2035,1
World,HLI_Fuelcell,CO2,2040,1
DE,HLI_Fuelcell,CO2,2040,1
World,HLI_Fuelcell,CO2,2045,1
DE,HLI_Fuelcell,CO2,2045,1
World,HLI_Fuelcell,CO2,2050,1
DE,HLI_Fuelcell,CO2,2050,1
World,HLI_Gas_Boiler,CO2,2018,1
DE,HLI_Gas_Boiler,CO2,2018,1
World,HLI_Gas_Boiler,CO2,2020,1
DE,HLI_Gas_Boiler,CO2,2020,1
World,HLI_Gas_Boiler,CO2,2025,1
DE,HLI_Gas_Boiler,CO2,2025,1
World,HLI_Gas_Boiler,CO2,2030,1
DE,HLI_Gas_Boiler,CO2,2030,1
World,HLI_Gas_Boiler,CO2,2035,1
DE,HLI_Gas_Boiler,CO2,2035,1
World,HLI_Gas_Boiler,CO2,2040,1
DE,HLI_Gas_Boiler,CO2,2040,1
World,HLI_Gas_Boiler,CO2,2045,1
DE,HLI_Gas_Boiler,CO2,2045,1
World,HLI_Gas_Boiler,CO2,2050,1
DE,HLI_Gas_Boiler,CO2,2050,1
World,HLI_Gas_CHP,CO2,2018,1
DE,HLI_Gas_CHP,CO2,2018,1
World,HLI_Gas_CHP,CO2,2020,1
DE,HLI_Gas_CHP,CO2,2020,1
World,HLI_Gas_CHP,CO2,2025,1
DE,HLI_Gas_CHP,CO2,2025,1
World,HLI_Gas_CHP,CO2,2030,1
DE,HLI_Gas_CHP,CO2,2030,1
World,HLI_Gas_CHP,CO2,2035,1
DE,HLI_Gas_CHP,CO2,2035,1
World,HLI_Gas_CHP,CO2,2040,1
DE,HLI_Gas_CHP,CO2,2040,1
World,HLI_Gas_CHP,CO2,2045,1
DE,HLI_Gas_CHP,CO2,2045,1
World,HLI_Gas_CHP,CO2,2050,1
DE,HLI_Gas_CHP,CO2,2050,1
World,HLI_Geothermal,CO2,2018,1
DE,HLI_Geothermal,CO2,2018,1
World,HLI_Geothermal,CO2,2020,1
DE,HLI_Geothermal,CO2,2020,1
World,HLI_Geothermal,CO2,2025,1
DE,HLI_Geothermal,CO2,2025,1
World,HLI_Geothermal,CO2,2030,1
DE,HLI_Geothermal,CO2,2030,1
World,HLI_Geothermal,CO2,2035,1
DE,HLI_Geothermal,CO2,2035,1
World,HLI_Geothermal,CO2,2040,1
DE,HLI_Geothermal,CO2,2040,1
World,HLI_Geothermal,CO2,2045,1
DE,HLI_Geothermal,CO2,2045,1
World,HLI_Geothermal,CO2,2050,1
DE,HLI_Geothermal,CO2,2050,1
World,HLI_Hardcoal,CO2,2018,1
DE,HLI_Hardcoal,CO2,2018,1
World,HLI_Hardcoal,CO2,2020,1
DE,HLI_Hardcoal,CO2,2020,1
World,HLI_Hardcoal,CO2,2025,1
DE,HLI_Hardcoal,CO2,2025,1
World,HLI_Hardcoal,CO2,2030,1
DE,HLI_Hardcoal,CO2,2030,1
World,HLI_Hardcoal,CO2,2035,1
DE,HLI_Hardcoal,CO2,2035,1
World,HLI_Hardcoal,CO2,2040,1
DE,HLI_Hardcoal,CO2,2040,1
World,HLI_Hardcoal,CO2,2045,1
DE,HLI_Hardcoal,CO2,2045,1
World,HLI_Hardcoal,CO2,2050,1
DE,HLI_Hardcoal,CO2,2050,1
World,HLI_Hardcoal_CHP,CO2,2018,1
DE,HLI_Hardcoal_CHP,CO2,2018,1
World,HLI_Hardcoal_CHP,CO2,2020,1
DE,HLI_Hardcoal_CHP,CO2,2020,1
World,HLI_Hardcoal_CHP,CO2,2025,1
DE,HLI_Hardcoal_CHP,CO2,2025,1
World,HLI_Hardcoal_CHP,CO2,2030,1
DE,HLI_Hardcoal_CHP,CO2,2030,1
World,HLI_Hardcoal_CHP,CO2,2035,1
DE,HLI_Hardcoal_CHP,CO2,2035,1
World,HLI_Hardcoal_CHP,CO2,2040,1
DE,HLI_Hardcoal_CHP,CO2,2040,1
World,HLI_Hardcoal_CHP,CO2,2045,1
DE,HLI_Hardcoal_CHP,CO2,2045,1
World,HLI_Hardcoal_CHP,CO2,2050,1
DE,HLI_Hardcoal_CHP,CO2,2050,1
World,HLI_Hardcoal_CHP_CCS,CO2,2018,1
DE,HLI_Hardcoal_CHP_CCS,CO2,2018,1
World,HLI_Hardcoal_CHP_CCS,CO2,2020,1
DE,HLI_Hardcoal_CHP_CCS,CO2,2020,1
World,HLI_Hardcoal_CHP_CCS,CO2,2025,1
DE,HLI_Hardcoal_CHP_CCS,CO2,2025,1
World,HLI_Hardcoal_CHP_CCS,CO2,2030,1
DE,HLI_Hardcoal_CHP_CCS,CO2,2030,1
World,HLI_Hardcoal_CHP_CCS,CO2,2035,1
DE,HLI_Hardcoal_CHP_CCS,CO2,2035,1
World,HLI_Hardcoal_CHP_CCS,CO2,2040,1
DE,HLI_Hardcoal_CHP_CCS,CO2,2040,1
World,HLI_Hardcoal_CHP_CCS,CO2,2045,1
DE,HLI_Hardcoal_CHP_CCS,CO2,2045,1
World,HLI_Hardcoal_CHP_CCS,CO2,2050,1
DE,HLI_Hardcoal_CHP_CCS,CO2,2050,1
World,HLI_Lignite,CO2,2018,1
DE,HLI_Lignite,CO2,2018,1
World,HLI_Lignite,CO2,2020,1
DE,HLI_Lignite,CO2,2020,1
World,HLI_Lignite,CO2,2025,1
DE,HLI_Lignite,CO2,2025,1
World,HLI_Lignite,CO2,2030,1
DE,HLI_Lignite,CO2,2030,1
World,HLI_Lignite,CO2,2035,1
DE,HLI_Lignite,CO2,2035,1
World,HLI_Lignite,CO2,2040,1
DE,HLI_Lignite,CO2,2040,1
World,HLI_Lignite,CO2,2045,1
DE,HLI_Lignite,CO2,2045,1
World,HLI_Lignite,CO2,2050,1
DE,HLI_Lignite,CO2,2050,1
World,HLI_Lignite_CHP,CO2,2018,1
DE,HLI_Lignite_CHP,CO2,2018,1
World,HLI_Lignite_CHP,CO2,2020,1
DE,HLI_Lignite_CHP,CO2,2020,1
