Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
FI,RES_Residues,2018,165.4472635,,PJ,,,
FR,RES_Residues,2018,371.5265837,,PJ,,,
GR,RES_Residues,2018,53.84392272,,PJ,,,
HR,RES_Residues,2018,30.576,,PJ,,,
HU,RES_Residues,2018,84.47622624,,PJ,,,
IE,RES_Residues,2018,17.7604056,,PJ,,,
IT,RES_Residues,2018,201.2845968,,PJ,,,
LU,RES_Residues,2018,1.18402704,,PJ,,,
ME,RES_Residues,2018,0,,PJ,,,
MK,RES_Residues,2018,0,,PJ,,,
NL,RES_Residues,2018,35.29807344,,PJ,,,
NO,RES_Residues,2018,211.4224,,PJ,,,
PL,RES_Residues,2018,210.5926906,,PJ,,,
PT,RES_Residues,2018,71.13540672,,PJ,,,
RO,RES_Residues,2018,123.5373955,,PJ,,,
RS,RES_Residues,2018,0,,PJ,,,
SE,RES_Residues,2018,187.2169488,,PJ,,,
SI,RES_Residues,2018,11.73476304,,PJ,,,
SK,RES_Residues,2018,38.14677216,,PJ,,,
UA,RES_Residues,2018,0,,PJ,,,
UK,RES_Residues,2018,237.6611899,,PJ,,,
EE,RES_Residues,2018,19.67126112,,PJ,,,
LT,RES_Residues,2018,24.0908472,,PJ,,,
LV,RES_Residues,2018,25.31004336,,PJ,,,
RU,RES_Residues,2018,0,,PJ,,,
BY,RES_Residues,2018,0,,PJ,,,
TR,RES_Residues,2018,201.636288,,PJ,,,
NONEU_Balkan,RES_Residues,2018,26.72621952,,PJ,,,
AL,RES_Paper_Cardboard,2018,0,,PJ,,,
AT,RES_Paper_Cardboard,2018,6.11189064,,PJ,,,
BA,RES_Paper_Cardboard,2018,0,,PJ,,,
BE,RES_Paper_Cardboard,2018,3.72792672,,PJ,,,
BG,RES_Paper_Cardboard,2018,4.09301568,,PJ,,,
CH,RES_Paper_Cardboard,2018,6.11189064,,PJ,,,
CZ,RES_Paper_Cardboard,2018,5.77527192,,PJ,,,
DE,RES_Paper_Cardboard,2018,28.6753932,,PJ,,,
DK,RES_Paper_Cardboard,2018,2.87381952,,PJ,,,
ES,RES_Paper_Cardboard,2018,18.72923112,,PJ,,,
FI,RES_Paper_Cardboard,2018,11.81766168,,PJ,,,
FR,RES_Paper_Cardboard,2018,26.53761312,,PJ,,,
GR,RES_Paper_Cardboard,2018,3.84599448,,PJ,,,
HR,RES_Paper_Cardboard,2018,2.184,,PJ,,,
HU,RES_Paper_Cardboard,2018,6.03401616,,PJ,,,
IE,RES_Paper_Cardboard,2018,1.2686004,,PJ,,,
IT,RES_Paper_Cardboard,2018,14.3774712,,PJ,,,
LU,RES_Paper_Cardboard,2018,0.08457336,,PJ,,,
ME,RES_Paper_Cardboard,2018,0,,PJ,,,
MK,RES_Paper_Cardboard,2018,0,,PJ,,,
NL,RES_Paper_Cardboard,2018,2.52129096,,PJ,,,
NO,RES_Paper_Cardboard,2018,15.1016,,PJ,,,
PL,RES_Paper_Cardboard,2018,15.04233504,,PJ,,,
PT,RES_Paper_Cardboard,2018,5.08110048,,PJ,,,
RO,RES_Paper_Cardboard,2018,8.82409968,,PJ,,,
RS,RES_Paper_Cardboard,2018,0,,PJ,,,
SE,RES_Paper_Cardboard,2018,13.3726392,,PJ,,,
SI,RES_Paper_Cardboard,2018,0.83819736,,PJ,,,
SK,RES_Paper_Cardboard,2018,2.72476944,,PJ,,,
UA,RES_Paper_Cardboard,2018,0,,PJ,,,
UK,RES_Paper_Cardboard,2018,16.97579928,,PJ,,,
EE,RES_Paper_Cardboard,2018,1.40509008,,PJ,,,
LT,RES_Paper_Cardboard,2018,1.7207748,,PJ,,,
LV,RES_Paper_Cardboard,2018,1.80786024,,PJ,,,
RU,RES_Paper_Cardboard,2018,0,,PJ,,,
BY,RES_Paper_Cardboard,2018,0,,PJ,,,
TR,RES_Paper_Cardboard,2018,14.402592,,PJ,,,
NONEU_Balkan,RES_Paper_Cardboard,2018,1.90901568,,PJ,,,
AL,RES_Grass,2018,0,,PJ,,,
AT,RES_Grass,2018,12.22378128,,PJ,,,
