Region,Technology,Year,Value,,Source,Updated at,Updated by
BG,P_Oil,2018,0.6,,,,
BG,RES_Hydro_Large,2018,0.864,,,,
BG,RES_Hydro_Small,2018,2.333,,,,
BG,RES_PV_Utility_Avg,2018,1.188,,,,
BG,RES_Wind_Offshore_Transitional,2018,0,,,,
BG,RES_Wind_Onshore_Avg,2018,0.8184,,,,
CH,CHP_Gas_CCGT_Natural,2018,0.506,,,,
CH,D_PHS,2018,0,,,,
CH,HHI_BF_BOF,2018,0.9664,,,,
CH,HHI_DRI_EAF,2018,0.2017,,,,
CH,HHI_Scrap_EAF,2018,0.2598,,,,
CH,HLI_Biomass,2018,0.0714,,,,
CH,HLI_Direct_Electric,2018,0.0081,,,,
CH,HLI_Gas_Boiler,2018,1.5198,,,,
CH,HLI_Hardcoal,2018,0.0007,,,,
CH,HLI_Oil_Boiler,2018,0.0972,,,,
CH,HLR_Biomass,2018,0.9688,,,,
CH,HLR_Gas_Boiler,2018,23.4589,,,,
CH,HLR_Oil_Boiler,2018,3.6431,,,,
CH,HMI_Biomass,2018,0.2211,,,,
CH,HMI_Gas,2018,3.2398,,,,
CH,HMI_HardCoal,2018,0.0006,,,,
CH,HMI_Oil,2018,0.0845,,,,
CH,HMI_Steam_Electric,2018,0.0268,,,,
CH,P_Biomass,2018,0.39,,,,
CH,P_Coal_Hardcoal,2018,0,,,,
CH,P_Coal_Lignite,2018,0,,,,
CH,P_Gas,2018,0.35,,,,
CH,P_Gas_CCGT,2018,0.132,,,,
CH,P_Nuclear,2018,3.278,,,,
CH,P_Oil,2018,0.66,,,,
CH,RES_Hydro_Large,2018,10.39,,,,
CH,RES_Hydro_Large_Base,2018,10.39,,,,
CH,RES_Hydro_Small,2018,3.854,,,,
CH,RES_PV_Utility_Avg,2018,1.086,,,,
CH,RES_Wind_Offshore_Transitional,2018,0,,,,
CH,RES_Wind_Onshore_Avg,2018,0.08,,,,
CZ,CHP_Biomass_Solid,2018,2.014231048,,,,
CZ,CHP_Coal_Hardcoal,2018,1.610605845,,,,
CZ,CHP_Coal_Lignite,2018,3.546425603,,,,
CZ,CHP_Gas_CCGT_Natural,2018,1.065810875,,,,
CZ,CHP_Oil,2018,0.072521979,,,,
CZ,D_PHS,2018,1.88,,,,
CZ,HHI_BF_BOF,2018,5.6663,,,,
CZ,HHI_DRI_EAF,2018,0.5289,,,,
CZ,HHI_Scrap_EAF,2018,0.0832,,,,
CZ,HLI_Biomass,2018,0.292,,,,
CZ,HLI_Direct_Electric,2018,0.0364,,,,
CZ,HLI_Gas_Boiler,2018,3.4186,,,,
CZ,HLI_Hardcoal,2018,0.015,,,,
CZ,HLI_Lignite,2018,0.0452,,,,
CZ,HLI_Oil_Boiler,2018,0.0465,,,,
CZ,HLR_Biomass,2018,2.4485,,,,
CZ,HLR_Direct_Electric,2018,0.6378,,,,
CZ,HLR_Gas_Boiler,2018,23.6952,,,,
CZ,HLR_Hardcoal,2018,1.0371,,,,
CZ,HLR_Oil_Boiler,2018,0.0729,,,,
CZ,HMI_Biomass,2018,0.0701,,,,
CZ,HMI_Gas,2018,16.462,,,,
CZ,HMI_HardCoal,2018,1.7621,,,,
CZ,HMI_Oil,2018,0.0929,,,,
CZ,HMI_Steam_Electric,2018,0.0156,,,,
CZ,P_Biomass,2018,0.83,,,,
CZ,P_Coal_Hardcoal,2018,1.27,,,,
CZ,P_Coal_Lignite,2018,8.85,,,,
CZ,P_Gas,2018,1.57,,,,
CZ,P_Gas_CCGT,2018,0.964,,,,
CZ,P_Gas_Engines,2018,0.06,,,,
CZ,P_Gas_OCGT,2018,0,,,,
CZ,P_Gas_OCGT,2018,0.04,,,,
CZ,P_Nuclear,2018,3.92,,,,
CZ,P_Oil,2018,0.113,,,,
CZ,RES_Hydro_Large,2018,1.88,,,,
CZ,RES_Hydro_Small,2018,0.25,,,,
CZ,RES_PV_Utility_Avg,2018,2.33,,,,
CZ,RES_Wind_Offshore_Transitional,2018,0,,,,
CZ,RES_Wind_Onshore_Avg,2018,0.48,,,,
DE,CHP_Biomass_Solid,2018,7.717372199,,,,
DE,CHP_Coal_Hardcoal,2018,12.0530644,,,,
DE,CHP_Coal_Lignite,2018,0.98488497,,,,
DE,CHP_Gas_CCGT_Natural,2018,25.86274166,,,,
DE,CHP_Oil,2018,1.102321393,,,,
DE,D_PHS,2018,5.8311,,,,
DE,HHI_BF_BOF,2018,41.6807,,,,
DE,HHI_DRI_EAF,2018,6.8434,,,,
DE,HHI_Scrap_EAF,2018,2.9226,,,,
DE,HLI_Biomass,2018,1.5386,,,,
DE,HLI_Direct_Electric,2018,0.2002,,,,
DE,HLI_Gas_Boiler,2018,31.6348,,,,
DE,HLI_Hardcoal,2018,0.3911,,,,
DE,HLI_Lignite,2018,0.0232,,,,
DE,HLI_Oil_Boiler,2018,0.4061,,,,
DE,HLR_Biomass,2018,8.8227,,,,
DE,HLR_Direct_Electric,2018,2.715,,,,
DE,HLR_Gas_Boiler,2018,437.9128,,,,
DE,HLR_Hardcoal,2018,1.063,,,,
DE,HLR_Hardcoal_CHP,2018,5.486129032,,,,
DE,HLR_Lignite_CHP,2018,1.503225806,,,,
DE,HLR_Oil_Boiler,2018,25.3048,,,,
DE,HMI_Biomass,2018,1.6372,,,,
DE,HMI_Gas,2018,156.9324,,,,
DE,HMI_HardCoal,2018,5.339,,,,
DE,HMI_Oil,2018,7.0267,,,,
DE,HMI_Steam_Electric,2018,0.4466,,,,
DE,P_Biomass,2018,9.407,,,,
DE,P_Coal_Hardcoal,2018,9.7385,,,,
DE,P_Coal_Lignite,2018,18.741825,,,,
DE,P_Gas,2018,8.0524,,,,
DE,P_Gas_CCGT,2018,12.372,,,,
DE,P_Gas_Engines,2018,1.98,,,,
DE,P_Gas_OCGT,2018,5.163,,,,
DE,P_Nuclear,2018,12.075,,,,
DE,P_Oil,2018,1.2955,,,,
DE,RES_Hydro_Large,2018,1.19102,,,,
DE,RES_Hydro_Large_Base,2018,0.124,,,,
DE,RES_Hydro_Small,2018,4.76408,,,,
DE,RES_PV_Utility_Avg,2018,45.92,,,,
DE,RES_Wind_Offshore_Transitional,2018,6.4,,,,
DE,RES_Wind_Onshore_Avg,2018,52.9,,,,
DE,X_Gasifier,2018,0,,,,
DK,CHP_Biomass_Solid,2018,3.138100618,,,,
DK,CHP_Coal_Hardcoal,2018,1.224278901,,,,
DK,CHP_Gas_CCGT_Natural,2018,0.821835354,,,,
DK,CHP_Oil,2018,0.129667682,,,,
DK,D_PHS,2018,0,,,,
DK,HHI_BF_BOF,2018,0.1693,,,,
DK,HHI_DRI_EAF,2018,0.0836,,,,
DK,HHI_Scrap_EAF,2018,0.004,,,,
DK,HLI_Biomass,2018,0.0913,,,,
DK,HLI_Direct_Electric,2018,0.0111,,,,
DK,HLI_Gas_Boiler,2018,1.7528,,,,
DK,HLI_Hardcoal,2018,0.0199,,,,
DK,HLI_Oil_Boiler,2018,0.1531,,,,
DK,HLR_Biomass,2018,1.3566,,,,
DK,HLR_Direct_Electric,2018,0.3795,,,,
DK,HLR_Gas_Boiler,2018,15.9542,,,,
DK,HLR_Oil_Boiler,2018,0.4077,,,,
