Technology,Value
FRT_Rail_Electric,0
FRT_Road_BEV,1
FRT_Road_OH,1
FRT_Road_PHEV,0
HHI_DRI_EAF,0.4
HHI_DRI_EAF_CCS,0.4
HHI_Molten_Electrolysis,1
HHI_Scrap_EAF,1
HLI_Direct_Electric,1
HLR_Direct_Electric,1
HLR_Heatpump_Aerial,1
HLR_Heatpump_Ground,1
HMI_Steam_Electric,1
PSNG_Rail_Electric,0
PSNG_Road_BEV,1
PSNG_Road_PHEV,0
