Fuel,Value,,Unit,Source,Updated at,Updated by
Area_Rooftop_Commercial,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Area_Rooftop_Residential,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Biomass,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Hardcoal,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Nuclear,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Oil,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Lignite,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Biofuel,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Powerfuel,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
LBG,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
Air,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
DAC_Dummy,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
ETS,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
ETS_Source,1,,Binary,not relevant,07.09.2023,Konstantin Löffler
