Region,Value,,Unit,Source,Updated at,Updated by
AL,0,,Mton,,,
AT,0,,Mton,,,
BA,0,,Mton,,,
BE,0,,Mton,,,
BG,0,,Mton,,,
CH,0,,Mton,,,
CZ,0,,Mton,,,
DE,1200,,Mton,,,
DK,2500,,Mton,,,
ES,3500,,Mton,,,
FI,0,,Mton,,,
FR,0,,Mton,,,
GR,0,,Mton,,,
HR,0,,Mton,,,
HU,0,,Mton,,,
IE,1300,,Mton,,,
IT,0,,Mton,,,
LU,0,,Mton,,,
ME,0,,Mton,,,
MK,0,,Mton,,,
NL,500,,Mton,,,
NO,56800,,Mton,,,
PL,3500,,Mton,,,
PT,0,,Mton,,,
RO,0,,Mton,,,
RS,0,,Mton,,,
SE,0,,Mton,,,
SI,0,,Mton,,,
SK,0,,Mton,,,
UA,0,,Mton,,,
UK,22000,,Mton,,,
EE,0,,Mton,,,
LT,1300,,Mton,,,
LV,0,,Mton,,,
RU,0,,Mton,,,
BY,0,,Mton,,,
