Region;Technology;Year;Value;;Unit;Source;Updated at;Updated by
LT;RES_Wind_Onshore_Inf;2018;16.29333333;;GW;;;
LV;RES_Wind_Onshore_Inf;2018;12.30666667;;GW;;;
RU;RES_Wind_Onshore_Inf;2018;0;;GW;;;
BY;RES_Wind_Onshore_Inf;2018;0;;GW;;;
AL;RES_Wind_Onshore_Opt;2018;5.421458599;;GW;;;
AT;RES_Wind_Onshore_Opt;2018;19.84666667;;GW;;;
BA;RES_Wind_Onshore_Opt;2018;8.732153849;;GW;;;
BE;RES_Wind_Onshore_Opt;2018;7.67;;GW;;;
BG;RES_Wind_Onshore_Opt;2018;29.68333333;;GW;;;
CH;RES_Wind_Onshore_Opt;2018;9.013333333;;GW;;;
CZ;RES_Wind_Onshore_Opt;2018;24.31;;GW;;;
DE;RES_Wind_Onshore_Opt;2018;96.46;;GW;;;
DK;RES_Wind_Onshore_Opt;2018;14.12666667;;GW;;;
ES;RES_Wind_Onshore_Opt;2018;158.99;;GW;;;
FI;RES_Wind_Onshore_Opt;2018;31.11333333;;GW;;;
FR;RES_Wind_Onshore_Opt;2018;165.4033333;;GW;;;
GR;RES_Wind_Onshore_Opt;2018;45.76;;GW;;;
HR;RES_Wind_Onshore_Opt;2018;8.58;;GW;;;
HU;RES_Wind_Onshore_Opt;2018;29.55333333;;GW;;;
IE;RES_Wind_Onshore_Opt;2018;24.39666667;;GW;;;
IT;RES_Wind_Onshore_Opt;2018;82.42;;GW;;;
LU;RES_Wind_Onshore_Opt;2018;0.736666667;;GW;;;
ME;RES_Wind_Onshore_Opt;2018;3.779852522;;GW;;;
MK;RES_Wind_Onshore_Opt;2018;7.98348172;;GW;;;
NL;RES_Wind_Onshore_Opt;2018;10.22666667;;GW;;;
NO;RES_Wind_Onshore_Opt;2018;13.95333333;;GW;;;
PL;RES_Wind_Onshore_Opt;2018;84.02333333;;GW;;;
PT;RES_Wind_Onshore_Opt;2018;22.1;;GW;;;
RO;RES_Wind_Onshore_Opt;2018;79.3;;GW;;;
RS;RES_Wind_Onshore_Opt;2018;32.45305331;;GW;;;
SE;RES_Wind_Onshore_Opt;2018;40.47333333;;GW;;;
SI;RES_Wind_Onshore_Opt;2018;3.596666667;;GW;;;
SK;RES_Wind_Onshore_Opt;2018;11.78666667;;GW;;;
UA;RES_Wind_Onshore_Opt;2018;0;;GW;;;
UK;RES_Wind_Onshore_Opt;2018;92.08333333;;GW;;;
EE;RES_Wind_Onshore_Opt;2018;6.846666667;;GW;;;
LT;RES_Wind_Onshore_Opt;2018;16.29333333;;GW;;;
LV;RES_Wind_Onshore_Opt;2018;12.30666667;;GW;;;
RU;RES_Wind_Onshore_Opt;2018;0;;GW;;;
BY;RES_Wind_Onshore_Opt;2018;0;;GW;;;
AL;RES_Wind_Offshore_Transitional;2018;0.213316485;;GW;;;
AT;RES_Wind_Offshore_Transitional;2018;0;;GW;;;
BA;RES_Wind_Offshore_Transitional;2018;0.343581406;;GW;;;
BE;RES_Wind_Offshore_Transitional;2018;3.943333333;;GW;;;
BG;RES_Wind_Offshore_Transitional;2018;5.026666667;;GW;;;
CH;RES_Wind_Offshore_Transitional;2018;0;;GW;;;
CZ;RES_Wind_Offshore_Transitional;2018;0;;GW;;;
DE;RES_Wind_Offshore_Transitional;2018;36.22666667;;GW;;;
DK;RES_Wind_Offshore_Transitional;2018;64.56666667;;GW;;;
ES;RES_Wind_Offshore_Transitional;2018;23.83333333;;GW;;;
FI;RES_Wind_Offshore_Transitional;2018;56.55;;GW;;;
FR;RES_Wind_Offshore_Transitional;2018;57.93666667;;GW;;;
GR;RES_Wind_Offshore_Transitional;2018;11.96;;GW;;;
HR;RES_Wind_Offshore_Transitional;2018;20.41;;GW;;;
HU;RES_Wind_Offshore_Transitional;2018;0;;GW;;;
IE;RES_Wind_Offshore_Transitional;2018;22.62;;GW;;;
IT;RES_Wind_Offshore_Transitional;2018;33.67;;GW;;;
LU;RES_Wind_Offshore_Transitional;2018;0;;GW;;;
ME;RES_Wind_Offshore_Transitional;2018;0.148724709;;GW;;;
MK;RES_Wind_Offshore_Transitional;2018;0.314123631;;GW;;;
NL;RES_Wind_Offshore_Transitional;2018;24.74333333;;GW;;;
NO;RES_Wind_Offshore_Transitional;2018;52.95333333;;GW;;;
PL;RES_Wind_Offshore_Transitional;2018;17.63666667;;GW;;;
PT;RES_Wind_Offshore_Transitional;2018;7.236666667;;GW;;;
RO;RES_Wind_Offshore_Transitional;2018;10.53;;GW;;;
RS;RES_Wind_Offshore_Transitional;2018;1.276920435;;GW;;;
SE;RES_Wind_Offshore_Transitional;2018;72.67;;GW;;;
SI;RES_Wind_Offshore_Transitional;2018;0.13;;GW;;;
SK;RES_Wind_Offshore_Transitional;2018;0;;GW;;;
UA;RES_Wind_Offshore_Transitional;2018;0;;GW;;;
UK;RES_Wind_Offshore_Transitional;2018;42.9;;GW;;;
EE;RES_Wind_Offshore_Transitional;2018;24.22333333;;GW;;;
LT;RES_Wind_Offshore_Transitional;2018;3.986666667;;GW;;;
LV;RES_Wind_Offshore_Transitional;2018;18.67666667;;GW;;;
RU;RES_Wind_Offshore_Transitional;2018;0;;GW;;;
BY;RES_Wind_Offshore_Transitional;2018;0;;GW;;;
AL;RES_Wind_Offshore_Shallow;2018;0.213316485;;GW;;;
AT;RES_Wind_Offshore_Shallow;2018;0;;GW;;;
BA;RES_Wind_Offshore_Shallow;2018;0.343581406;;GW;;;
BE;RES_Wind_Offshore_Shallow;2018;3.943333333;;GW;;;
BG;RES_Wind_Offshore_Shallow;2018;5.026666667;;GW;;;
CH;RES_Wind_Offshore_Shallow;2018;0;;GW;;;
CZ;RES_Wind_Offshore_Shallow;2018;0;;GW;;;
DE;RES_Wind_Offshore_Shallow;2018;36.22666667;;GW;;;
DK;RES_Wind_Offshore_Shallow;2018;64.56666667;;GW;;;
ES;RES_Wind_Offshore_Shallow;2018;23.83333333;;GW;;;
FI;RES_Wind_Offshore_Shallow;2018;56.55;;GW;;;
FR;RES_Wind_Offshore_Shallow;2018;57.93666667;;GW;;;
GR;RES_Wind_Offshore_Shallow;2018;11.96;;GW;;;
HR;RES_Wind_Offshore_Shallow;2018;20.41;;GW;;;
HU;RES_Wind_Offshore_Shallow;2018;0;;GW;;;
IE;RES_Wind_Offshore_Shallow;2018;22.62;;GW;;;
IT;RES_Wind_Offshore_Shallow;2018;33.67;;GW;;;
LU;RES_Wind_Offshore_Shallow;2018;0;;GW;;;
ME;RES_Wind_Offshore_Shallow;2018;0.148724709;;GW;;;
MK;RES_Wind_Offshore_Shallow;2018;0.314123631;;GW;;;
NL;RES_Wind_Offshore_Shallow;2018;24.74333333;;GW;;;
NO;RES_Wind_Offshore_Shallow;2018;52.95333333;;GW;;;
PL;RES_Wind_Offshore_Shallow;2018;17.63666667;;GW;;;
PT;RES_Wind_Offshore_Shallow;2018;7.236666667;;GW;;;
RO;RES_Wind_Offshore_Shallow;2018;10.53;;GW;;;
RS;RES_Wind_Offshore_Shallow;2018;1.276920435;;GW;;;
SE;RES_Wind_Offshore_Shallow;2018;72.67;;GW;;;
SI;RES_Wind_Offshore_Shallow;2018;0.13;;GW;;;
SK;RES_Wind_Offshore_Shallow;2018;0;;GW;;;
UA;RES_Wind_Offshore_Shallow;2018;0;;GW;;;
UK;RES_Wind_Offshore_Shallow;2018;42.9;;GW;;;
EE;RES_Wind_Offshore_Shallow;2018;24.22333333;;GW;;;
LT;RES_Wind_Offshore_Shallow;2018;3.986666667;;GW;;;
LV;RES_Wind_Offshore_Shallow;2018;18.67666667;;GW;;;
RU;RES_Wind_Offshore_Shallow;2018;0;;GW;;;
BY;RES_Wind_Offshore_Shallow;2018;0;;GW;;;
AL;RES_Wind_Offshore_Deep;2018;0.213316485;;GW;;;
AT;RES_Wind_Offshore_Deep;2018;0;;GW;;;
BA;RES_Wind_Offshore_Deep;2018;0.343581406;;GW;;;
BE;RES_Wind_Offshore_Deep;2018;3.943333333;;GW;;;
BG;RES_Wind_Offshore_Deep;2018;5.026666667;;GW;;;
CH;RES_Wind_Offshore_Deep;2018;0;;GW;;;
CZ;RES_Wind_Offshore_Deep;2018;0;;GW;;;
DE;RES_Wind_Offshore_Deep;2018;36.22666667;;GW;;;
DK;RES_Wind_Offshore_Deep;2018;64.56666667;;GW;;;
ES;RES_Wind_Offshore_Deep;2018;23.83333333;;GW;;;
FI;RES_Wind_Offshore_Deep;2018;56.55;;GW;;;
FR;RES_Wind_Offshore_Deep;2018;57.93666667;;GW;;;
GR;RES_Wind_Offshore_Deep;2018;11.96;;GW;;;
HR;RES_Wind_Offshore_Deep;2018;20.41;;GW;;;
HU;RES_Wind_Offshore_Deep;2018;0;;GW;;;
IE;RES_Wind_Offshore_Deep;2018;22.62;;GW;;;
IT;RES_Wind_Offshore_Deep;2018;33.67;;GW;;;
LU;RES_Wind_Offshore_Deep;2018;0;;GW;;;
ME;RES_Wind_Offshore_Deep;2018;0.148724709;;GW;;;
MK;RES_Wind_Offshore_Deep;2018;0.314123631;;GW;;;
NL;RES_Wind_Offshore_Deep;2018;24.74333333;;GW;;;
NO;RES_Wind_Offshore_Deep;2018;52.95333333;;GW;;;
PL;RES_Wind_Offshore_Deep;2018;17.63666667;;GW;;;
PT;RES_Wind_Offshore_Deep;2018;7.236666667;;GW;;;
RO;RES_Wind_Offshore_Deep;2018;10.53;;GW;;;
RS;RES_Wind_Offshore_Deep;2018;1.276920435;;GW;;;
SE;RES_Wind_Offshore_Deep;2018;72.67;;GW;;;
SI;RES_Wind_Offshore_Deep;2018;0.13;;GW;;;
SK;RES_Wind_Offshore_Deep;2018;0;;GW;;;
UA;RES_Wind_Offshore_Deep;2018;0;;GW;;;
UK;RES_Wind_Offshore_Deep;2018;42.9;;GW;;;
EE;RES_Wind_Offshore_Deep;2018;24.22333333;;GW;;;
LT;RES_Wind_Offshore_Deep;2018;3.986666667;;GW;;;
LV;RES_Wind_Offshore_Deep;2018;18.67666667;;GW;;;
RU;RES_Wind_Offshore_Deep;2018;0;;GW;;;
BY;RES_Wind_Offshore_Deep;2018;0;;GW;;;
AL;RES_PV_Utility_Avg;2018;3.368790533;;GW;;;
BA;RES_PV_Utility_Avg;2018;5.425993149;;GW;;;
CH;RES_PV_Utility_Avg;2018;8.103333333;;GW;;;
ME;RES_PV_Utility_Avg;2018;2.348727959;;GW;;;
MK;RES_PV_Utility_Avg;2018;4.960782628;;GW;;;
NO;RES_PV_Utility_Avg;2018;5.2;;GW;;;
RS;RES_PV_Utility_Avg;2018;20.16570573;;GW;;;
UA;RES_PV_Utility_Avg;2018;0;;GW;;;
RU;RES_PV_Utility_Avg;2018;0;;GW;;;
BY;RES_PV_Utility_Avg;2018;0;;GW;;;
AL;RES_PV_Utility_Inf;2018;3.368790533;;GW;;;
BA;RES_PV_Utility_Inf;2018;5.425993149;;GW;;;
CH;RES_PV_Utility_Inf;2018;8.103333333;;GW;;;
ME;RES_PV_Utility_Inf;2018;2.348727959;;GW;;;
MK;RES_PV_Utility_Inf;2018;4.960782628;;GW;;;
NO;RES_PV_Utility_Inf;2018;5.2;;GW;;;
RS;RES_PV_Utility_Inf;2018;20.16570573;;GW;;;
UA;RES_PV_Utility_Inf;2018;0;;GW;;;
RU;RES_PV_Utility_Inf;2018;0;;GW;;;
BY;RES_PV_Utility_Inf;2018;0;;GW;;;
AL;RES_PV_Utility_Opt;2018;3.368790533;;GW;;;
BA;RES_PV_Utility_Opt;2018;5.425993149;;GW;;;
