Fuel,Region,Region2,Value,,Unit,Source,Updated at,Updated by
Oil,ES,FR,2.17157615,,M€/PJ,,,
Oil,FI,FR,0.0,,M€/PJ,,,
Oil,FR,FR,0.0,,M€/PJ,,,
Oil,GR,FR,5.40036379,,M€/PJ,,,
Oil,HR,FR,4.722498565,,M€/PJ,,,
Oil,HU,FR,5.022339805,,M€/PJ,,,
Oil,IE,FR,4.346615222,,M€/PJ,,,
Oil,IT,FR,4.262429283,,M€/PJ,,,
Oil,LT,FR,0.0,,M€/PJ,,,
Oil,LU,FR,4.06386618,,M€/PJ,,,
Oil,LV,FR,0.0,,M€/PJ,,,
Oil,NL,FR,4.34821726,,M€/PJ,,,
Oil,NO,FR,5.865910869,,M€/PJ,,,
Oil,NONEU_Balkan,FR,4.989930577,,M€/PJ,,,
Oil,PL,FR,5.196450107,,M€/PJ,,,
Oil,PT,FR,3.111951067,,M€/PJ,,,
Oil,RO,FR,5.45096593,,M€/PJ,,,
Oil,SE,FR,5.796353175,,M€/PJ,,,
Oil,SI,FR,4.592173905,,M€/PJ,,,
Oil,SK,FR,5.066847749,,M€/PJ,,,
Oil,TR,FR,0.0,,M€/PJ,,,
Oil,UK,FR,3.198293051,,M€/PJ,,,
H2,AT,FR,4.580037025,,M€/PJ,,,
H2,BE,FR,4.081848965,,M€/PJ,,,
H2,BG,FR,0.0,,M€/PJ,,,
H2,CH,FR,3.952053305,,M€/PJ,,,
H2,CZ,FR,4.785017302,,M€/PJ,,,
H2,DE,FR,4.514018744,,M€/PJ,,,
H2,DK,FR,4.968087585,,M€/PJ,,,
H2,EE,FR,0.0,,M€/PJ,,,
H2,ES,FR,2.17157615,,M€/PJ,,,
H2,FI,FR,0.0,,M€/PJ,,,
H2,FR,FR,0.0,,M€/PJ,,,
H2,GR,FR,5.40036379,,M€/PJ,,,
H2,HR,FR,4.722498565,,M€/PJ,,,
H2,HU,FR,5.022339805,,M€/PJ,,,
H2,IE,FR,4.346615222,,M€/PJ,,,
H2,IT,FR,4.262429283,,M€/PJ,,,
H2,LT,FR,0.0,,M€/PJ,,,
H2,LU,FR,4.06386618,,M€/PJ,,,
H2,LV,FR,0.0,,M€/PJ,,,
H2,NL,FR,4.34821726,,M€/PJ,,,
H2,NO,FR,5.865910869,,M€/PJ,,,
H2,NONEU_Balkan,FR,4.989930577,,M€/PJ,,,
H2,PL,FR,5.196450107,,M€/PJ,,,
H2,PT,FR,3.111951067,,M€/PJ,,,
H2,RO,FR,5.45096593,,M€/PJ,,,
H2,SE,FR,5.796353175,,M€/PJ,,,
H2,SI,FR,4.592173905,,M€/PJ,,,
H2,SK,FR,5.066847749,,M€/PJ,,,
H2,TR,FR,0.0,,M€/PJ,,,
H2,UK,FR,3.198293051,,M€/PJ,,,
Power,AT,FR,0.01,,M€/PJ,,,
Power,BE,FR,0.01,,M€/PJ,,,
Power,BG,FR,0.0,,M€/PJ,,,
Power,CH,FR,0.01,,M€/PJ,,,
Power,CZ,FR,0.01,,M€/PJ,,,
Power,DE,FR,0.01,,M€/PJ,,,
Power,DK,FR,0.01,,M€/PJ,,,
Power,EE,FR,0.0,,M€/PJ,,,
Power,ES,FR,0.01,,M€/PJ,,,
Power,FI,FR,0.0,,M€/PJ,,,
Power,FR,FR,0.0,,M€/PJ,,,
Power,GR,FR,0.01,,M€/PJ,,,
Power,HR,FR,0.01,,M€/PJ,,,
Power,HU,FR,0.01,,M€/PJ,,,
Power,IE,FR,0.01,,M€/PJ,,,
Power,IT,FR,0.01,,M€/PJ,,,
Power,LT,FR,0.0,,M€/PJ,,,
Power,LU,FR,0.01,,M€/PJ,,,
Power,LV,FR,0.0,,M€/PJ,,,
Power,NL,FR,0.01,,M€/PJ,,,
Power,NO,FR,0.01,,M€/PJ,,,
Power,NONEU_Balkan,FR,0.01,,M€/PJ,,,
Power,PL,FR,0.01,,M€/PJ,,,
Power,PT,FR,0.01,,M€/PJ,,,
Power,RO,FR,0.01,,M€/PJ,,,
Power,SE,FR,0.01,,M€/PJ,,,
Power,SI,FR,0.01,,M€/PJ,,,
Power,SK,FR,0.01,,M€/PJ,,,
Power,TR,FR,0.0,,M€/PJ,,,
Power,UK,FR,0.01,,M€/PJ,,,
LH2,AT,FR,4.580037025,,M€/PJ,,,
LH2,BE,FR,4.081848965,,M€/PJ,,,
LH2,BG,FR,0.0,,M€/PJ,,,
LH2,CH,FR,3.952053305,,M€/PJ,,,
LH2,CZ,FR,4.785017302,,M€/PJ,,,
LH2,DE,FR,4.514018744,,M€/PJ,,,
LH2,DK,FR,4.968087585,,M€/PJ,,,
LH2,EE,FR,0.0,,M€/PJ,,,
LH2,ES,FR,2.17157615,,M€/PJ,,,
LH2,FI,FR,0.0,,M€/PJ,,,
LH2,FR,FR,0.0,,M€/PJ,,,
LH2,GR,FR,5.40036379,,M€/PJ,,,
LH2,HR,FR,4.722498565,,M€/PJ,,,
LH2,HU,FR,5.022339805,,M€/PJ,,,
LH2,IE,FR,4.346615222,,M€/PJ,,,
LH2,IT,FR,4.262429283,,M€/PJ,,,
LH2,LT,FR,0.0,,M€/PJ,,,
LH2,LU,FR,4.06386618,,M€/PJ,,,
LH2,LV,FR,0.0,,M€/PJ,,,
LH2,NL,FR,4.34821726,,M€/PJ,,,
LH2,NO,FR,5.865910869,,M€/PJ,,,
LH2,NONEU_Balkan,FR,4.989930577,,M€/PJ,,,
LH2,PL,FR,5.196450107,,M€/PJ,,,
LH2,PT,FR,3.111951067,,M€/PJ,,,
LH2,RO,FR,5.45096593,,M€/PJ,,,
LH2,SE,FR,5.796353175,,M€/PJ,,,
LH2,SI,FR,4.592173905,,M€/PJ,,,
LH2,SK,FR,5.066847749,,M€/PJ,,,
LH2,TR,FR,0.0,,M€/PJ,,,
LH2,UK,FR,3.198293051,,M€/PJ,,,
LSG,AT,FR,4.580037025,,M€/PJ,,,
LSG,BE,FR,4.081848965,,M€/PJ,,,
LSG,BG,FR,0.0,,M€/PJ,,,
LSG,CH,FR,3.952053305,,M€/PJ,,,
LSG,CZ,FR,4.785017302,,M€/PJ,,,
LSG,DE,FR,4.514018744,,M€/PJ,,,
LSG,DK,FR,4.968087585,,M€/PJ,,,
LSG,EE,FR,0.0,,M€/PJ,,,
LSG,ES,FR,2.17157615,,M€/PJ,,,
LSG,FI,FR,0.0,,M€/PJ,,,
LSG,FR,FR,0.0,,M€/PJ,,,
LSG,GR,FR,5.40036379,,M€/PJ,,,
LSG,HR,FR,4.722498565,,M€/PJ,,,
LSG,HU,FR,5.022339805,,M€/PJ,,,
LSG,IE,FR,4.346615222,,M€/PJ,,,
LSG,IT,FR,4.262429283,,M€/PJ,,,
