Region,Region2,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
AL,AL,Power,2018,2,,Factor,,,
AT,AL,Power,2018,2,,,,,
BA,AL,Power,2018,2,,,,,
BE,AL,Power,2018,2,,,,,
BG,AL,Power,2018,2,,,,,
CH,AL,Power,2018,2,,,,,
CZ,AL,Power,2018,2,,,,,
DE,AL,Power,2018,2,,,,,
DK,AL,Power,2018,2,,,,,
ES,AL,Power,2018,2,,,,,
FI,AL,Power,2018,2,,,,,
FR,AL,Power,2018,2,,,,,
GR,AL,Power,2018,2,,,,,
HR,AL,Power,2018,2,,,,,
HU,AL,Power,2018,2,,,,,
IE,AL,Power,2018,2,,,,,
IT,AL,Power,2018,2,,,,,
LU,AL,Power,2018,2,,,,,
ME,AL,Power,2018,2,,,,,
MK,AL,Power,2018,2,,,,,
NL,AL,Power,2018,2,,,,,
NO,AL,Power,2018,2,,,,,
PL,AL,Power,2018,2,,,,,
PT,AL,Power,2018,2,,,,,
RO,AL,Power,2018,2,,,,,
RS,AL,Power,2018,2,,,,,
SE,AL,Power,2018,2,,,,,
SI,AL,Power,2018,2,,,,,
SK,AL,Power,2018,2,,,,,
UK,AL,Power,2018,2,,,,,
EE,AL,Power,2018,2,,,,,
LT,AL,Power,2018,2,,,,,
LV,AL,Power,2018,2,,,,,
UA,AL,Power,2018,2,,,,,
RU,AL,Power,2018,2,,,,,
BY,AL,Power,2018,2,,,,,
AL,AT,Power,2018,2,,,,,
AT,AT,Power,2018,2,,,,,
BA,AT,Power,2018,2,,,,,
BE,AT,Power,2018,2,,,,,
BG,AT,Power,2018,2,,,,,
CH,AT,Power,2018,2,,,,,
CZ,AT,Power,2018,2,,,,,
DE,AT,Power,2018,2,,,,,
DK,AT,Power,2018,2,,,,,
ES,AT,Power,2018,2,,,,,
FI,AT,Power,2018,2,,,,,
FR,AT,Power,2018,2,,,,,
GR,AT,Power,2018,2,,,,,
HR,AT,Power,2018,2,,,,,
HU,AT,Power,2018,2,,,,,
IE,AT,Power,2018,2,,,,,
IT,AT,Power,2018,2,,,,,
LU,AT,Power,2018,2,,,,,
ME,AT,Power,2018,2,,,,,
MK,AT,Power,2018,2,,,,,
NL,AT,Power,2018,2,,,,,
NO,AT,Power,2018,2,,,,,
PL,AT,Power,2018,2,,,,,
PT,AT,Power,2018,2,,,,,
RO,AT,Power,2018,2,,,,,
RS,AT,Power,2018,2,,,,,
SE,AT,Power,2018,2,,,,,
SI,AT,Power,2018,2,,,,,
SK,AT,Power,2018,2,,,,,
UK,AT,Power,2018,2,,,,,
EE,AT,Power,2018,2,,,,,
LT,AT,Power,2018,2,,,,,
LV,AT,Power,2018,2,,,,,
UA,AT,Power,2018,2,,,,,
RU,AT,Power,2018,2,,,,,
BY,AT,Power,2018,2,,,,,
AL,BA,Power,2018,2,,,,,
AT,BA,Power,2018,2,,,,,
BA,BA,Power,2018,2,,,,,
BE,BA,Power,2018,2,,,,,
BG,BA,Power,2018,2,,,,,
CH,BA,Power,2018,2,,,,,
CZ,BA,Power,2018,2,,,,,
DE,BA,Power,2018,2,,,,,
DK,BA,Power,2018,2,,,,,
ES,BA,Power,2018,2,,,,,
FI,BA,Power,2018,2,,,,,
FR,BA,Power,2018,2,,,,,
GR,BA,Power,2018,2,,,,,
HR,BA,Power,2018,2,,,,,
HU,BA,Power,2018,2,,,,,
IE,BA,Power,2018,2,,,,,
IT,BA,Power,2018,2,,,,,
LU,BA,Power,2018,2,,,,,
ME,BA,Power,2018,2,,,,,
MK,BA,Power,2018,2,,,,,
NL,BA,Power,2018,2,,,,,
NO,BA,Power,2018,2,,,,,
PL,BA,Power,2018,2,,,,,
PT,BA,Power,2018,2,,,,,
RO,BA,Power,2018,2,,,,,
RS,BA,Power,2018,2,,,,,
SE,BA,Power,2018,2,,,,,
SI,BA,Power,2018,2,,,,,
SK,BA,Power,2018,2,,,,,
UK,BA,Power,2018,2,,,,,
EE,BA,Power,2018,2,,,,,
LT,BA,Power,2018,2,,,,,
LV,BA,Power,2018,2,,,,,
UA,BA,Power,2018,2,,,,,
RU,BA,Power,2018,2,,,,,
BY,BA,Power,2018,2,,,,,
AL,BE,Power,2018,2,,,,,
AT,BE,Power,2018,2,,,,,
BA,BE,Power,2018,2,,,,,
BE,BE,Power,2018,2,,,,,
BG,BE,Power,2018,2,,,,,
CH,BE,Power,2018,2,,,,,
CZ,BE,Power,2018,2,,,,,
DE,BE,Power,2018,2,,,,,
DK,BE,Power,2018,2,,,,,
ES,BE,Power,2018,2,,,,,
FI,BE,Power,2018,2,,,,,
FR,BE,Power,2018,2,,,,,
GR,BE,Power,2018,2,,,,,
HR,BE,Power,2018,2,,,,,
HU,BE,Power,2018,2,,,,,
IE,BE,Power,2018,2,,,,,
IT,BE,Power,2018,2,,,,,
LU,BE,Power,2018,2,,,,,
ME,BE,Power,2018,2,,,,,
MK,BE,Power,2018,2,,,,,
NL,BE,Power,2018,2,,,,,
NO,BE,Power,2018,2,,,,,
PL,BE,Power,2018,2,,,,,
PT,BE,Power,2018,2,,,,,
RO,BE,Power,2018,2,,,,,
RS,BE,Power,2018,2,,,,,
SE,BE,Power,2018,2,,,,,
SI,BE,Power,2018,2,,,,,
SK,BE,Power,2018,2,,,,,
UK,BE,Power,2018,2,,,,,
EE,BE,Power,2018,2,,,,,
LT,BE,Power,2018,2,,,,,
LV,BE,Power,2018,2,,,,,
UA,BE,Power,2018,2,,,,,
RU,BE,Power,2018,2,,,,,
BY,BE,Power,2018,2,,,,,
AL,BG,Power,2018,2,,,,,
AT,BG,Power,2018,2,,,,,
BA,BG,Power,2018,2,,,,,
BE,BG,Power,2018,2,,,,,
BG,BG,Power,2018,2,,,,,
CH,BG,Power,2018,2,,,,,
CZ,BG,Power,2018,2,,,,,
DE,BG,Power,2018,2,,,,,
DK,BG,Power,2018,2,,,,,
ES,BG,Power,2018,2,,,,,
FI,BG,Power,2018,2,,,,,
FR,BG,Power,2018,2,,,,,
GR,BG,Power,2018,2,,,,,
HR,BG,Power,2018,2,,,,,
HU,BG,Power,2018,2,,,,,
IE,BG,Power,2018,2,,,,,
IT,BG,Power,2018,2,,,,,
LU,BG,Power,2018,2,,,,,
ME,BG,Power,2018,2,,,,,
MK,BG,Power,2018,2,,,,,
NL,BG,Power,2018,2,,,,,
NO,BG,Power,2018,2,,,,,
PL,BG,Power,2018,2,,,,,
PT,BG,Power,2018,2,,,,,
RO,BG,Power,2018,2,,,,,
RS,BG,Power,2018,2,,,,,
SE,BG,Power,2018,2,,,,,
SI,BG,Power,2018,2,,,,,
SK,BG,Power,2018,2,,,,,
UK,BG,Power,2018,2,,,,,
EE,BG,Power,2018,2,,,,,
LT,BG,Power,2018,2,,,,,
LV,BG,Power,2018,2,,,,,
UA,BG,Power,2018,2,,,,,
RU,BG,Power,2018,2,,,,,
BY,BG,Power,2018,2,,,,,
AL,CH,Power,2018,2,,,,,
AT,CH,Power,2018,2,,,,,
BA,CH,Power,2018,2,,,,,
BE,CH,Power,2018,2,,,,,
BG,CH,Power,2018,2,,,,,
CH,CH,Power,2018,2,,,,,
CZ,CH,Power,2018,2,,,,,
DE,CH,Power,2018,2,,,,,
DK,CH,Power,2018,2,,,,,
ES,CH,Power,2018,2,,,,,
FI,CH,Power,2018,2,,,,,
FR,CH,Power,2018,2,,,,,
GR,CH,Power,2018,2,,,,,
HR,CH,Power,2018,2,,,,,
HU,CH,Power,2018,2,,,,,
IE,CH,Power,2018,2,,,,,
IT,CH,Power,2018,2,,,,,
LU,CH,Power,2018,2,,,,,
ME,CH,Power,2018,2,,,,,
MK,CH,Power,2018,2,,,,,
NL,CH,Power,2018,2,,,,,
NO,CH,Power,2018,2,,,,,
PL,CH,Power,2018,2,,,,,
PT,CH,Power,2018,2,,,,,
RO,CH,Power,2018,2,,,,,
RS,CH,Power,2018,2,,,,,
SE,CH,Power,2018,2,,,,,
SI,CH,Power,2018,2,,,,,
SK,CH,Power,2018,2,,,,,
UK,CH,Power,2018,2,,,,,
EE,CH,Power,2018,2,,,,,
LT,CH,Power,2018,2,,,,,
LV,CH,Power,2018,2,,,,,
UA,CH,Power,2018,2,,,,,
RU,CH,Power,2018,2,,,,,
BY,CH,Power,2018,2,,,,,
AL,CZ,Power,2018,2,,,,,
AT,CZ,Power,2018,2,,,,,
BA,CZ,Power,2018,2,,,,,
BE,CZ,Power,2018,2,,,,,
BG,CZ,Power,2018,2,,,,,
CH,CZ,Power,2018,2,,,,,
CZ,CZ,Power,2018,2,,,,,
DE,CZ,Power,2018,2,,,,,
DK,CZ,Power,2018,2,,,,,
ES,CZ,Power,2018,2,,,,,
FI,CZ,Power,2018,2,,,,,
FR,CZ,Power,2018,2,,,,,
GR,CZ,Power,2018,2,,,,,
HR,CZ,Power,2018,2,,,,,
HU,CZ,Power,2018,2,,,,,
IE,CZ,Power,2018,2,,,,,
IT,CZ,Power,2018,2,,,,,
LU,CZ,Power,2018,2,,,,,
ME,CZ,Power,2018,2,,,,,
MK,CZ,Power,2018,2,,,,,
NL,CZ,Power,2018,2,,,,,
NO,CZ,Power,2018,2,,,,,
PL,CZ,Power,2018,2,,,,,
PT,CZ,Power,2018,2,,,,,
RO,CZ,Power,2018,2,,,,,
RS,CZ,Power,2018,2,,,,,
SE,CZ,Power,2018,2,,,,,
SI,CZ,Power,2018,2,,,,,
SK,CZ,Power,2018,2,,,,,
UK,CZ,Power,2018,2,,,,,
EE,CZ,Power,2018,2,,,,,
LT,CZ,Power,2018,2,,,,,
LV,CZ,Power,2018,2,,,,,
UA,CZ,Power,2018,2,,,,,
RU,CZ,Power,2018,2,,,,,
BY,CZ,Power,2018,2,,,,,
AL,DE,Power,2018,2,,,,,
AT,DE,Power,2018,2,,,,,
BA,DE,Power,2018,2,,,,,
BE,DE,Power,2018,2,,,,,
BG,DE,Power,2018,2,,,,,
CH,DE,Power,2018,2,,,,,
CZ,DE,Power,2018,2,,,,,
DE,DE,Power,2018,2,,,,,
DK,DE,Power,2018,2,,,,,
ES,DE,Power,2018,2,,,,,
FI,DE,Power,2018,2,,,,,
FR,DE,Power,2018,2,,,,,
GR,DE,Power,2018,2,,,,,
HR,DE,Power,2018,2,,,,,
HU,DE,Power,2018,2,,,,,
IE,DE,Power,2018,2,,,,,
IT,DE,Power,2018,2,,,,,
LU,DE,Power,2018,2,,,,,
ME,DE,Power,2018,2,,,,,
MK,DE,Power,2018,2,,,,,
NL,DE,Power,2018,2,,,,,
NO,DE,Power,2018,2,,,,,
PL,DE,Power,2018,2,,,,,
PT,DE,Power,2018,2,,,,,
RO,DE,Power,2018,2,,,,,
RS,DE,Power,2018,2,,,,,
SE,DE,Power,2018,2,,,,,
SI,DE,Power,2018,2,,,,,
SK,DE,Power,2018,2,,,,,
UK,DE,Power,2018,2,,,,,
EE,DE,Power,2018,2,,,,,
LT,DE,Power,2018,2,,,,,
LV,DE,Power,2018,2,,,,,
UA,DE,Power,2018,2,,,,,
RU,DE,Power,2018,2,,,,,
BY,DE,Power,2018,2,,,,,
AL,DK,Power,2018,2,,,,,
AT,DK,Power,2018,2,,,,,
BA,DK,Power,2018,2,,,,,
BE,DK,Power,2018,2,,,,,
BG,DK,Power,2018,2,,,,,
CH,DK,Power,2018,2,,,,,
CZ,DK,Power,2018,2,,,,,
DE,DK,Power,2018,2,,,,,
DK,DK,Power,2018,2,,,,,
ES,DK,Power,2018,2,,,,,
FI,DK,Power,2018,2,,,,,
FR,DK,Power,2018,2,,,,,
GR,DK,Power,2018,2,,,,,
HR,DK,Power,2018,2,,,,,
HU,DK,Power,2018,2,,,,,
IE,DK,Power,2018,2,,,,,
IT,DK,Power,2018,2,,,,,
LU,DK,Power,2018,2,,,,,
ME,DK,Power,2018,2,,,,,
MK,DK,Power,2018,2,,,,,
NL,DK,Power,2018,2,,,,,
NO,DK,Power,2018,2,,,,,
PL,DK,Power,2018,2,,,,,
PT,DK,Power,2018,2,,,,,
RO,DK,Power,2018,2,,,,,
RS,DK,Power,2018,2,,,,,
SE,DK,Power,2018,2,,,,,
SI,DK,Power,2018,2,,,,,
SK,DK,Power,2018,2,,,,,
UK,DK,Power,2018,2,,,,,
EE,DK,Power,2018,2,,,,,
LT,DK,Power,2018,2,,,,,
LV,DK,Power,2018,2,,,,,
UA,DK,Power,2018,2,,,,,
RU,DK,Power,2018,2,,,,,
BY,DK,Power,2018,2,,,,,
AL,ES,Power,2018,2,,,,,
AT,ES,Power,2018,2,,,,,
BA,ES,Power,2018,2,,,,,
BE,ES,Power,2018,2,,,,,
BG,ES,Power,2018,2,,,,,
CH,ES,Power,2018,2,,,,,
CZ,ES,Power,2018,2,,,,,
DE,ES,Power,2018,2,,,,,
DK,ES,Power,2018,2,,,,,
ES,ES,Power,2018,2,,,,,
FI,ES,Power,2018,2,,,,,
FR,ES,Power,2018,2,,,,,
GR,ES,Power,2018,2,,,,,
HR,ES,Power,2018,2,,,,,
HU,ES,Power,2018,2,,,,,
IE,ES,Power,2018,2,,,,,
IT,ES,Power,2018,2,,,,,
LU,ES,Power,2018,2,,,,,
ME,ES,Power,2018,2,,,,,
MK,ES,Power,2018,2,,,,,
NL,ES,Power,2018,2,,,,,
NO,ES,Power,2018,2,,,,,
PL,ES,Power,2018,2,,,,,
PT,ES,Power,2018,2,,,,,
RO,ES,Power,2018,2,,,,,
RS,ES,Power,2018,2,,,,,
SE,ES,Power,2018,2,,,,,
SI,ES,Power,2018,2,,,,,
SK,ES,Power,2018,2,,,,,
UK,ES,Power,2018,2,,,,,
EE,ES,Power,2018,2,,,,,
LT,ES,Power,2018,2,,,,,
LV,ES,Power,2018,2,,,,,
UA,ES,Power,2018,2,,,,,
RU,ES,Power,2018,2,,,,,
BY,ES,Power,2018,2,,,,,
AL,FI,Power,2018,2,,,,,
AT,FI,Power,2018,2,,,,,
BA,FI,Power,2018,2,,,,,
BE,FI,Power,2018,2,,,,,
BG,FI,Power,2018,2,,,,,
CH,FI,Power,2018,2,,,,,
CZ,FI,Power,2018,2,,,,,
DE,FI,Power,2018,2,,,,,
DK,FI,Power,2018,2,,,,,
ES,FI,Power,2018,2,,,,,
FI,FI,Power,2018,2,,,,,
FR,FI,Power,2018,2,,,,,
GR,FI,Power,2018,2,,,,,
HR,FI,Power,2018,2,,,,,
HU,FI,Power,2018,2,,,,,
IE,FI,Power,2018,2,,,,,
IT,FI,Power,2018,2,,,,,
LU,FI,Power,2018,2,,,,,
ME,FI,Power,2018,2,,,,,
MK,FI,Power,2018,2,,,,,
NL,FI,Power,2018,2,,,,,
NO,FI,Power,2018,2,,,,,
PL,FI,Power,2018,2,,,,,
PT,FI,Power,2018,2,,,,,
RO,FI,Power,2018,2,,,,,
RS,FI,Power,2018,2,,,,,
SE,FI,Power,2018,2,,,,,
SI,FI,Power,2018,2,,,,,
SK,FI,Power,2018,2,,,,,
UK,FI,Power,2018,2,,,,,
EE,FI,Power,2018,2,,,,,
LT,FI,Power,2018,2,,,,,
LV,FI,Power,2018,2,,,,,
UA,FI,Power,2018,2,,,,,
RU,FI,Power,2018,2,,,,,
BY,FI,Power,2018,2,,,,,
AL,FR,Power,2018,2,,,,,
AT,FR,Power,2018,2,,,,,
BA,FR,Power,2018,2,,,,,
BE,FR,Power,2018,2,,,,,
BG,FR,Power,2018,2,,,,,
CH,FR,Power,2018,2,,,,,
CZ,FR,Power,2018,2,,,,,
DE,FR,Power,2018,2,,,,,
DK,FR,Power,2018,2,,,,,
ES,FR,Power,2018,2,,,,,
FI,FR,Power,2018,2,,,,,
FR,FR,Power,2018,2,,,,,
GR,FR,Power,2018,2,,,,,
HR,FR,Power,2018,2,,,,,
HU,FR,Power,2018,2,,,,,
IE,FR,Power,2018,2,,,,,
IT,FR,Power,2018,2,,,,,
LU,FR,Power,2018,2,,,,,
ME,FR,Power,2018,2,,,,,
MK,FR,Power,2018,2,,,,,
NL,FR,Power,2018,2,,,,,
NO,FR,Power,2018,2,,,,,
PL,FR,Power,2018,2,,,,,
PT,FR,Power,2018,2,,,,,
RO,FR,Power,2018,2,,,,,
RS,FR,Power,2018,2,,,,,
SE,FR,Power,2018,2,,,,,
SI,FR,Power,2018,2,,,,,
SK,FR,Power,2018,2,,,,,
UK,FR,Power,2018,2,,,,,
EE,FR,Power,2018,2,,,,,
LT,FR,Power,2018,2,,,,,
LV,FR,Power,2018,2,,,,,
UA,FR,Power,2018,2,,,,,
RU,FR,Power,2018,2,,,,,
BY,FR,Power,2018,2,,,,,
AL,GR,Power,2018,2,,,,,
AT,GR,Power,2018,2,,,,,
BA,GR,Power,2018,2,,,,,
BE,GR,Power,2018,2,,,,,
BG,GR,Power,2018,2,,,,,
CH,GR,Power,2018,2,,,,,
CZ,GR,Power,2018,2,,,,,
DE,GR,Power,2018,2,,,,,
DK,GR,Power,2018,2,,,,,
ES,GR,Power,2018,2,,,,,
FI,GR,Power,2018,2,,,,,
FR,GR,Power,2018,2,,,,,
GR,GR,Power,2018,2,,,,,
HR,GR,Power,2018,2,,,,,
HU,GR,Power,2018,2,,,,,
IE,GR,Power,2018,2,,,,,
IT,GR,Power,2018,2,,,,,
LU,GR,Power,2018,2,,,,,
ME,GR,Power,2018,2,,,,,
MK,GR,Power,2018,2,,,,,
NL,GR,Power,2018,2,,,,,
NO,GR,Power,2018,2,,,,,
PL,GR,Power,2018,2,,,,,
PT,GR,Power,2018,2,,,,,
RO,GR,Power,2018,2,,,,,
RS,GR,Power,2018,2,,,,,
SE,GR,Power,2018,2,,,,,
SI,GR,Power,2018,2,,,,,
SK,GR,Power,2018,2,,,,,
UK,GR,Power,2018,2,,,,,
EE,GR,Power,2018,2,,,,,
LT,GR,Power,2018,2,,,,,
LV,GR,Power,2018,2,,,,,
UA,GR,Power,2018,2,,,,,
RU,GR,Power,2018,2,,,,,
