Source: sourcetag (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.08.27); timestamp; name <email>
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
7976,0.635763833,0.606087263,0.618557837,0.661634193,0.622796132,0.621732671,0.651390296,0.642393809,0.649124151,0.627076149,0.618557837,0.618557837,0.618557837,0.645746292,0.629231995,0.606087263,0.603025579,0.649124151,0.629231995,0.633575758,0.618557837,0.649124151,0.618557837,0.618557837,0.645746292,0.642393809,0.642393809,0.642393809,0.618557837,0.618557837,0.770524238,0.767650604,0.757681115,0.398779534,0.657986232,0.78758958,0.747711627,0.740503813,0.657986232,1.375789393,1.05071487
7977,0.605303161,0.57576173,0.588175516,0.629934023,0.592394512,0.591335893,0.620858466,0.611902946,0.61860264,0.596655038,0.588175516,0.588175516,0.588175516,0.615240163,0.598801068,0.57576173,0.572713988,0.61860264,0.598801068,0.60312505,0.588175516,0.61860264,0.588175516,0.588175516,0.615240163,0.611902946,0.611902946,0.611902946,0.588175516,0.588175516,0.650442539,0.757681115,0.747711627,1.046796278,0.797559069,0.777620092,0.897253952,0.670456155,0.797559069,1.146491161,1.070728487
7978,1.274046887,1.300557842,1.289417511,1.32589012,1.285631317,1.286581338,1.260087307,1.268124135,1.262111722,1.281807852,1.289417511,1.289417511,1.289417511,1.265129263,1.279881971,1.300557842,1.303292935,1.262111722,1.279881971,1.27600156,1.289417511,1.262111722,1.289417511,1.289417511,1.265129263,1.268124135,1.268124135,1.268124135,1.289417511,1.289417511,1.40095316,0.747711627,0.897253952,0.657986232,0.78758958,0.767650604,1.046796278,0.600408497,0.78758958,0.927162417,1.100748911
7979,0.95490536,0.953322553,0.953987674,0.993762157,0.954213725,0.954157005,0.955738802,0.955258972,0.955617936,0.954442,0.953987674,0.953987674,0.953987674,0.955437777,0.954556983,0.953322553,0.953159257,0.955617936,0.954556983,0.954788659,0.953987674,0.955617936,0.953987674,0.953987674,0.955437777,0.955258972,0.955258972,0.955258972,0.953987674,0.953987674,1.330905502,0.897253952,1.046796278,0.797559069,0.777620092,0.757681115,1.206308091,0.530360839,0.777620092,0.707833673,1.120762528
7980,0.513921147,0.484785132,0.497028555,0.534833512,0.501189651,0.50014556,0.529262976,0.520430358,0.527038108,0.505391707,0.497028555,0.497028555,0.497028555,0.523721776,0.507508286,0.484785132,0.481779216,0.527038108,0.507508286,0.511772927,0.497028555,0.527038108,0.497028555,0.497028555,0.523721776,0.520430358,0.520430358,0.520430358,0.497028555,0.497028555,1.250851036,1.046796278,1.206308091,0.78758958,0.767650604,0.747711627,1.355850417,0.800544663,0.767650604,0.48850493,1.150782953
7981,0.506341577,0.478645932,0.490284088,0.526945515,0.494239476,0.493247001,0.520924966,0.512528998,0.518810087,0.498233799,0.490284088,0.490284088,0.490284088,0.515657702,0.500245742,0.478645932,0.475788616,0.518810087,0.500245742,0.504299556,0.490284088,0.518810087,0.490284088,0.490284088,0.515657702,0.512528998,0.512528998,0.512528998,0.490284088,0.490284088,1.170796569,1.206308091,1.355850417,0.777620092,0.757681115,0.897253952,1.51536223,0.770524238,0.757681115,0.269176186,1.170796569
7982,0.498762006,0.472506731,0.483539621,0.519057519,0.487289301,0.486348442,0.512586956,0.504627638,0.510582066,0.491075891,0.483539621,0.483539621,0.483539621,0.507593627,0.492983198,0.472506731,0.469798016,0.510582066,0.492983198,0.496826186,0.483539621,0.510582066,0.483539621,0.483539621,0.507593627,0.504627638,0.504627638,0.504627638,0.483539621,0.483539621,1.100748911,1.355850417,1.51536223,0.767650604,0.747711627,1.046796278,1.664904556,0.650442539,0.747711627,0.398779534,1.200816994
7983,0.491182436,0.466367531,0.476795154,0.511169523,0.480339125,0.479449882,0.504248947,0.496726278,0.502354045,0.483917983,0.476795154,0.476795154,0.476795154,0.499529552,0.485720655,0.466367531,0.463807417,0.502354045,0.485720655,0.489352815,0.476795154,0.502354045,0.476795154,0.476795154,0.499529552,0.496726278,0.496726278,0.496726278,0.476795154,0.476795154,1.020694445,1.51536223,1.664904556,0.757681115,0.897253952,1.206308091,1.814446881,1.40095316,0.897253952,1.046796278,1.010687637
7984,0.483602866,0.460228331,0.470050687,0.503281526,0.47338895,0.472551323,0.495910937,0.488824918,0.494126023,0.476760074,0.470050687,0.470050687,0.470050687,0.491465478,0.478458111,0.460228331,0.457816817,0.494126023,0.478458111,0.481879444,0.470050687,0.494126023,0.470050687,0.470050687,0.491465478,0.488824918,0.488824918,0.488824918,0.470050687,0.470050687,1.05071487,1.664904556,1.814446881,0.747711627,1.046796278,1.355850417,1.814446881,1.330905502,1.046796278,0.657986232,0.940639979
7985,0.476023296,0.45408913,0.46330622,0.49539353,0.46643877500000003,0.465652763,0.487572927,0.480923558,0.485898002,0.469602166,0.46330622,0.46330622,0.46330622,0.483401403,0.471195568,0.45408913,0.451826217,0.485898002,0.471195568,0.474406074,0.46330622,0.485898002,0.46330622,0.46330622,0.483401403,0.480923558,0.480923558,0.480923558,0.46330622,0.46330622,1.070728487,1.814446881,1.814446881,0.897253952,1.206308091,1.51536223,1.595118137,1.250851036,1.206308091,0.797559069,0.870592321
7986,0.68120996,0.674223315,0.677159215,0.708929604,0.678157022,0.677906655,0.68488884,0.68277083,0.68435533,0.67916465,0.677159215,0.677159215,0.677159215,0.683560093,0.679672193,0.674223315,0.673502514,0.68435533,0.679672193,0.680694829,0.677159215,0.68435533,0.677159215,0.677159215,0.683560093,0.68277083,0.68277083,0.68277083,0.677159215,0.677159215,1.100748911,1.814446881,1.595118137,1.046796278,1.355850417,1.664904556,1.375789393,1.170796569,1.355850417,0.78758958,0.800544663
7987,0.886396623,0.894357499,0.891012211,0.922465677,0.889875268,0.890160547,0.882204753,0.884618102,0.882812657,0.888727134,0.891012211,0.891012211,0.891012211,0.883718783,0.888148819,0.894357499,0.89517881,0.882812657,0.888148819,0.886983584,0.891012211,0.882812657,0.891012211,0.891012211,0.883718783,0.884618102,0.884618102,0.884618102,0.891012211,0.891012211,1.120762528,1.595118137,1.375789393,1.206308091,1.51536223,1.814446881,1.146491161,1.100748911,1.51536223,0.777620092,0.740503813
7988,1.091583287,1.114491683,1.104865206,1.136001751,1.101593515,1.102414439,1.079520666,1.086465374,1.081269984,1.098289619,1.104865206,1.104865206,1.104865206,1.083877473,1.096625444,1.114491683,1.116855106,1.081269984,1.096625444,1.09327234,1.104865206,1.081269984,1.104865206,1.104865206,1.083877473,1.086465374,1.086465374,1.086465374,1.104865206,1.104865206,1.150782953,1.375789393,1.146491161,1.355850417,1.664904556,1.814446881,0.927162417,1.020694445,1.664904556,0.767650604,0.670456155
7989,1.296769951,1.334625868,1.318718201,1.349537825,1.313311762,1.31466833,1.276836579,1.288312645,1.279727311,1.307852103,1.318718201,1.318718201,1.318718201,1.284036163,1.30510207,1.334625868,1.338531402,1.279727311,1.30510207,1.299561095,1.318718201,1.279727311,1.318718201,1.318718201,1.284036163,1.288312645,1.288312645,1.288312645,1.318718201,1.318718201,1.170796569,1.146491161,0.927162417,1.51536223,1.814446881,1.595118137,0.707833673,1.05071487,1.814446881,0.757681115,0.600408497
7990,1.501956614,1.554760052,1.532571196,1.563073899,1.525030008,1.526922222,1.474152492,1.490159917,1.478184639,1.517414587,1.532571196,1.532571196,1.532571196,1.484194853,1.513578695,1.554760052,1.560207698,1.478184639,1.513578695,1.505849851,1.532571196,1.478184639,1.532571196,1.532571196,1.484194853,1.490159917,1.490159917,1.490159917,1.532571196,1.532571196,1.200816994,0.927162417,0.707833673,1.664904556,1.814446881,1.375789393,0.48850493,1.070728487,1.814446881,0.747711627,0.530360839
