Region,Region,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
AT,IT,Power,2018,0.071,,GW,,,
CH,IT,Power,2018,1.336,,GW,,,
FR,IT,Power,2018,0.866,,GW,,,
GR,IT,Power,2018,0.5,,GW,,,
IT,IT,Power,2018,0,,GW,,,
SI,IT,Power,2018,0.203,,GW,,,
AT,IT,gas_natural,2018,1633.041966,,PJ,,,
CH,IT,gas_natural,2018,888.2223269,,PJ,,,
SI,IT,gas_natural,2018,30.52414888,,PJ,,,
DE,LU,Power,2018,0.98,,GW,,,
LU,LU,Power,2018,0,,GW,,,
BE,LU,gas_natural,2018,54.21519948,,PJ,,,
DE,LU,gas_natural,2018,55.21390053,,PJ,,,
BG,NONEU_Balkan,Power,2018,0.35,,GW,,,
GR,NONEU_Balkan,Power,2018,0.3,,GW,,,
HR,NONEU_Balkan,Power,2018,1.1,,GW,,,
HU,NONEU_Balkan,Power,2018,0.7,,GW,,,
NONEU_Balkan,NONEU_Balkan,Power,2018,0,,GW,,,
RO,NONEU_Balkan,Power,2018,0.2,,GW,,,
BG,NONEU_Balkan,gas_natural,2018,0,,PJ,,,
HU,NONEU_Balkan,gas_natural,2018,202.6863767,,PJ,,,
NONEU_Balkan,NONEU_Balkan,gas_natural,2018,20.25936402,,PJ,,,
BE,NL,Power,2018,1.426,,GW,,,
DE,NL,Power,2018,2.85,,GW,,,
DK,NL,Power,2018,0.7,,GW,,,
NL,NL,Power,2018,0,,GW,,,
NO,NL,Power,2018,0.723,,GW,,,
UK,NL,Power,2018,1.016,,GW,,,
BE,NL,gas_natural,2018,560.9846431,,PJ,,,
DE,NL,gas_natural,2018,1329.426658,,PJ,,,
DK,NL,gas_natural,2018,564.9794473,,PJ,,,
NO,NL,gas_natural,2018,754.7611798,,PJ,,,
UK,NL,gas_natural,2018,0,,PJ,,,
DE,NO,Power,2018,1.444,,GW,,,
DK,NO,Power,2018,1.7,,GW,,,
NL,NO,Power,2018,0.723,,GW,,,
NO,NO,Power,2018,0,,GW,,,
SE,NO,Power,2018,3.695,,GW,,,
UK,NO,Power,2018,2.8,,GW,,,
CZ,PL,Power,2018,0.1,,GW,,,
DE,PL,Power,2018,0.1,,GW,,,
PL,PL,Power,2018,0,,GW,,,
SE,PL,Power,2018,0.341666667,,GW,,,
SK,PL,Power,2018,0.5,,GW,,,
CZ,PL,gas_natural,2018,39.94804173,,PJ,,,
DE,PL,gas_natural,2018,303.9189946,,PJ,,,
ES,PT,Power,2018,1.46875,,GW,,,
PT,PT,Power,2018,0,,GW,,,
ES,PT,gas_natural,2018,205.4470717,,PJ,,,
BG,RO,Power,2018,0.15,,GW,,,
HU,RO,Power,2018,0.4,,GW,,,
NONEU_Balkan,RO,Power,2018,0.2,,GW,,,
RO,RO,Power,2018,0,,GW,,,
BG,RO,gas_natural,2018,20.51617286,,PJ,,,
HU,RO,gas_natural,2018,73.61853404,,PJ,,,
DE,SE,Power,2018,0.353958333,,GW,,,
DK,SE,Power,2018,2.44,,GW,,,
FI,SE,Power,2018,1.95,,GW,,,
NO,SE,Power,2018,3.445,,GW,,,
PL,SE,Power,2018,0.265916667,,GW,,,
SE,SE,Power,2018,0,,GW,,,
DK,SE,gas_natural,2018,125.5509883,,PJ,,,
AT,SI,Power,2018,0.950083333,,GW,,,
HR,SI,Power,2018,1,,GW,,,
IT,SI,Power,2018,0.18,,GW,,,
SI,SI,Power,2018,0,,GW,,,
AT,SI,gas_natural,2018,160.5055248,,PJ,,,
IT,SI,gas_natural,2018,40.37605646,,PJ,,,
CZ,SK,Power,2018,1.7,,GW,,,
HU,SK,Power,2018,0.8,,GW,,,
PL,SK,Power,2018,0.6,,GW,,,
SK,SK,Power,2018,0,,GW,,,
AT,SK,gas_natural,2018,353.1406889,,PJ,,,
CZ,SK,gas_natural,2018,994.1355527,,PJ,,,
DK,UK,Power,2018,1.4,,GW,,,
FR,UK,Power,2018,2,,GW,,,
IE,UK,Power,2018,0.45,,GW,,,
NL,UK,Power,2018,1.016,,GW,,,
NO,UK,Power,2018,2.8,,GW,,,
UK,UK,Power,2018,0,,GW,,,
BE,UK,gas_natural,2018,1146.223454,,PJ,,,
IE,UK,gas_natural,2018,126.9777041,,PJ,,,
NL,UK,gas_natural,2018,704.7975933,,PJ,,,
NO,UK,gas_natural,2018,2576.82,,PJ,,,
